DateTime	AirspeedIndicator:airspeed	Altimeter:altitude	TurnCoordinator:roll
[State]	Armed
2019-12-11 11:29:12	0.0	0.0	0.2108672162864004
[State]	Taxiing
2019-12-11 11:29:13	0.0	597.8499755859375	0.06912584996982642
2019-12-11 11:29:14	0.0	600.4599609375	0.004583674334821768
2019-12-11 11:29:15	0.0	603.0299682617188	0.005297042653786306
2019-12-11 11:29:16	0.0	605.5700073242188	0.01191210504408012
2019-12-11 11:29:17	0.0	608.0999755859375	0.011422463356664853
2019-12-11 11:29:18	0.0	610.5999755859375	0.05430908858680602
2019-12-11 11:29:19	0.0	613.0999755859375	0.17155280750636567
2019-12-11 11:29:20	0.0	615.5999755859375	0.18535780709793825
2019-12-11 11:29:21	0.0	618.0799560546875	0.2161052776887126
2019-12-11 11:29:22	0.0	620.5700073242188	0.2106703013990204
2019-12-11 11:29:23	0.0	623.0499877929688	0.17998115422045563
2019-12-11 11:29:24	0.0	625.5299682617188	0.09799801341671573
[State]	TakeOff
2019-12-11 11:29:25	0.0	627.6699829101562	0.08315474503002186
2019-12-11 11:29:26	0.0	630.1599731445312	0.08456707340390712
2019-12-11 11:29:27	0.0	632.6799926757812	0.18025324120934544
2019-12-11 11:29:28	0.0	635.1900024414062	0.15685313317480076
2019-12-11 11:29:29	0.0	637.6599731445312	0.0953966118073334
2019-12-11 11:29:30	0.0	639.5299682617188	0.05844346078835291
2019-12-11 11:29:31	0.0	642.6599731445312	0.1466893581225722
2019-12-11 11:29:32	0.0	644.5399780273438	0.1316288577037602
2019-12-11 11:29:33	0.0	647.6599731445312	0.15526742204966032
2019-12-11 11:29:34	0.0	649.5399780273438	0.20077606535495612
2019-12-11 11:29:35	0.0	652.0399780273438	0.22497044968477925
2019-12-11 11:29:36	0.0	654.5499877929688	0.13547967033304578
2019-12-11 11:29:37	0.0	657.0499877929688	0.15143437858438732
2019-12-11 11:29:38	0.0	659.5399780273438	0.12375891897495846
2019-12-11 11:29:39	0.0	662.0199584960938	0.1348582832011333
2019-12-11 11:29:40	0.0	664.5299682617188	0.11207118464459727
2019-12-11 11:29:41	0.0	667.0399780273438	0.12264122255030935
[State]	Climb
2019-12-11 11:29:42	0.0	668.9099731445312	0.15161042937828706
2019-12-11 11:29:43	0.0	671.4299926757812	0.1488494988290813
2019-12-11 11:29:44	0.0	673.9199829101562	0.19649177583721275
2019-12-11 11:29:45	0.0	676.4199829101562	0.15135290990223643
2019-12-11 11:29:46	0.0	678.9299926757812	0.19580933054938005
2019-12-11 11:29:47	0.0	681.4299926757812	0.16457416844361092
2019-12-11 11:29:48	0.0	683.9299926757812	0.12804963847547518
2019-12-11 11:29:49	0.0	685.9199829101562	2.740808491745785
2019-12-11 11:29:50	20.9935152	687.489990234375	20.438786138393095
2019-12-11 11:29:51	41.9870304	688.2899780273438	32.0275971314577
2019-12-11 11:29:52	47.041024799999995	688.8900146484375	32.23856801454105
2019-12-11 11:29:53	48.7904844	689.8499755859375	27.663237732961075
2019-12-11 11:29:54	49.7624064	690.9199829101562	17.887884653217167
2019-12-11 11:29:55	49.568022	692.010009765625	12.068560065271718
2019-12-11 11:29:56	49.568022	693.0499877929688	5.564399303118948
2019-12-11 11:29:57	48.012946799999995	694.489990234375	1.0264445637292186
2019-12-11 11:29:58	47.429793599999996	695.2799682617188	-3.479078729933997
2019-12-11 11:29:59	47.624178	695.6799926757812	-4.176873693987537
2019-12-11 11:30:00	47.2354092	696.1699829101562	-4.91725680850681
2019-12-11 11:30:01	47.624178	696.5700073242188	-4.990552849150687
2019-12-11 11:30:02	47.429793599999996	696.969970703125	-4.38142846811931
2019-12-11 11:30:03	47.8185624	697.3900146484375	-2.8626208601681427
2019-12-11 11:30:04	48.012946799999995	697.8499755859375	-1.9409421135185165
2019-12-11 11:30:05	48.2073312	698.3399658203125	-1.1520876010588956
2019-12-11 11:30:06	48.5961	698.9299926757812	-0.3981306061421325
2019-12-11 11:30:07	48.401715599999996	699.6199951171875	0.6216288032152303
2019-12-11 11:30:08	48.7904844	700.3699951171875	0.8302336660814094
2019-12-11 11:30:09	48.401715599999996	700.9500122070312	1.1387353282834611
2019-12-11 11:30:10	48.5961	701.739990234375	0.7257678437167684
2019-12-11 11:30:11	48.5961	702.5999755859375	0.6252497639706891
2019-12-11 11:30:12	48.7904844	703.5599975585938	0.6286518385075901
2019-12-11 11:30:13	48.7904844	704.5399780273438	0.45362119739343176
2019-12-11 11:30:14	48.401715599999996	705.47998046875	0.2885451834685968
2019-12-11 11:30:15	48.5961	706.4199829101562	0.29546072332280826
2019-12-11 11:30:16	48.5961	707.3800048828125	0.06644956307351857
2019-12-11 11:30:17	48.7904844	708.1699829101562	0.19040222196511003
2019-12-11 11:30:18	48.5961	709.1799926757812	0.40893697926529765
2019-12-11 11:30:19	48.5961	710.1599731445312	0.1771796560828397
2019-12-11 11:30:20	48.984868799999994	711.2000122070312	0.27828151689975683
2019-12-11 11:30:21	48.5961	712.3399658203125	0.23914018404607315
2019-12-11 11:30:22	48.5961	713.3999633789062	0.12811907428529923
2019-12-11 11:30:23	48.2073312	714.3899536132812	0.0928271600086194
2019-12-11 11:30:24	49.1792532	715.3699951171875	0.09195338938274701
2019-12-11 11:30:25	49.1792532	716.4199829101562	0.24366910639389408
2019-12-11 11:30:26	48.401715599999996	717.5499877929688	0.042677259755007774
2019-12-11 11:30:27	48.5961	718.5399780273438	-0.03502518338339894
2019-12-11 11:30:28	49.1792532	719.5599975585938	0.10015668002966371
