DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-14.13:09:25	86.8527	1990.41	0.0456783	11.7003
2019-10-14.13:09:26	86.8606	1995.39	0.0455348	11.7002
2019-10-14.13:09:27	86.8674	2000.37	0.0453916	11.7002
2019-10-14.13:09:28	86.8734	2005.36	0.0452483	11.7
2019-10-14.13:09:29	86.8788	2010.34	0.0451049	11.6992
2019-10-14.13:09:30	86.884	2015.32	0.0449618	11.6977
2019-10-14.13:09:31	86.8894	2020.3	0.0448193	11.6954
2019-10-14.13:09:32	86.8954	2025.27	0.0446778	11.6925
2019-10-14.13:09:33	86.9023	2030.24	0.0445374	11.689
2019-10-14.13:09:34	86.9101	2035.21	0.0443981	11.6854
2019-10-14.13:09:35	86.9188	2040.17	0.0442596	11.682
2019-10-14.13:09:36	86.9281	2045.13	0.0441218	11.6791
2019-10-14.13:09:37	86.9376	2050.09	0.0439844	11.6768
2019-10-14.13:09:38	86.9469	2055.05	0.0438473	11.6753
2019-10-14.13:09:39	86.9557	2060	0.0437103	11.6745
2019-10-14.13:09:40	86.9636	2064.96	0.0435734	11.6741
2019-10-14.13:09:41	86.9707	2069.91	0.0434364	11.674
2019-10-14.13:09:42	86.977	2074.87	0.0432994	11.6736
2019-10-14.13:09:43	86.9826	2079.82	0.0431626	11.6729
2019-10-14.13:09:44	86.988	2084.78	0.0430262	11.6715
2019-10-14.13:09:45	86.9935	2089.73	0.0428903	11.6694
2019-10-14.13:09:46	86.9995	2094.68	0.0427553	11.6667
2019-10-14.13:09:47	87.0062	2099.63	0.0426211	11.6635
2019-10-14.13:09:48	87.0138	2104.57	0.0424879	11.6601
2019-10-14.13:09:49	87.0222	2109.51	0.0423555	11.6568
2019-10-14.13:09:50	87.0311	2114.44	0.0422238	11.6539
2019-10-14.13:09:51	87.0404	2119.38	0.0420926	11.6516
2019-10-14.13:09:52	87.0495	2124.31	0.0419617	11.6499
2019-10-14.13:09:53	87.0582	2129.24	0.041831	11.6489
2019-10-14.13:09:54	87.0663	2134.17	0.0417003	11.6483
2019-10-14.13:09:55	87.0735	2139.1	0.0415696	11.6479
2019-10-14.13:09:56	87.08	2144.03	0.0414389	11.6475
2019-10-14.13:09:57	87.0859	2148.96	0.0413084	11.6468
