DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-11.17:47:55	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-11.17:47:56	0.0731498	1654.75	-0.0268963	0.453951
2019-10-11.17:47:57	0.0572793	1654.78	-0.0383173	-0.11395
2019-10-11.17:47:58	1.63126	1654.79	-0.105679	-0.0721873
2019-10-11.17:47:59	5.00611	1654.79	-0.171809	0.152836
2019-10-11.17:48:00	8.86449	1654.79	-0.190993	0.247557
2019-10-11.17:48:01	12.7787	1654.79	-0.247276	0.296688
2019-10-11.17:48:02	16.614	1654.79	-0.44451	0.341623
2019-10-11.17:48:03	20.3879	1654.79	-0.829593	0.478771
2019-10-11.17:48:04	24.1016	1654.79	-1.2087	0.572093
2019-10-11.17:48:05	27.7403	1654.8	-1.52069	0.619471
2019-10-11.17:48:06	31.3096	1654.8	-1.71928	0.635074
2019-10-11.17:48:07	34.7754	1654.8	-1.88278	0.669183
2019-10-11.17:48:08	38.1083	1654.8	-2.02663	0.708235
2019-10-11.17:48:09	41.3168	1654.81	-2.12244	0.744098
2019-10-11.17:48:10	44.4241	1654.81	-2.16479	0.781836
2019-10-11.17:48:11	47.46	1654.81	-2.1614	0.829863
2019-10-11.17:48:12	50.4546	1654.82	-2.1002	0.889032
2019-10-11.17:48:13	53.4319	1654.82	-1.99578	0.951455
2019-10-11.17:48:14	56.4083	1654.83	-1.86274	1.01302
2019-10-11.17:48:15	59.3954	1654.83	-1.70814	1.07487
2019-10-11.17:48:16	62.4014	1654.84	-1.53601	1.13781
2019-10-11.17:48:17	65.4322	1654.84	-1.34885	1.20215
2019-10-11.17:48:18	68.4923	1654.85	-1.14847	1.26782
2019-10-11.17:48:19	71.585	1654.85	-0.936364	1.33466
2019-10-11.17:48:20	74.7123	1654.86	-0.7139	1.40245
2019-10-11.17:48:21	77.8752	1654.87	-0.482395	1.47092
[State]	TakeOff
2019-10-11.17:48:22	81.0736	1654.88	-0.24324	1.53978
2019-10-11.17:48:23	84.3327	1654.89	-0.150259	1.6004
2019-10-11.17:48:24	87.6683	1654.9	-0.0524857	2.36967
2019-10-11.17:48:25	90.7772	1655.18	0.0481568	9.85631
2019-10-11.17:48:26	91.0846	1660.73	4.28139	12.4797
2019-10-11.17:48:27	90.2022	1669.07	10.3757	11.5311
2019-10-11.17:48:28	89.3623	1675.76	17.0638	11.8879
2019-10-11.17:48:29	88.5301	1681.1	24.7095	12.8117
2019-10-11.17:48:30	87.8371	1685.28	30.3112	12.993
2019-10-11.17:48:31	87.3024	1688.37	30.3651	12.4517
2019-10-11.17:48:32	86.9707	1691.06	30.3764	11.6505
2019-10-11.17:48:33	86.7605	1693.47	30.3659	11.4474
2019-10-11.17:48:34	86.5835	1695.75	30.3526	11.7469
2019-10-11.17:48:35	86.3857	1697.95	30.3453	12.2191
2019-10-11.17:48:36	86.1663	1700.09	30.3465	12.4943
2019-10-11.17:48:37	85.9575	1702.15	30.3517	12.4673
2019-10-11.17:48:38	85.787	1704.13	30.355	12.2629
2019-10-11.17:48:39	85.6605	1706.01	30.3541	12.0839
2019-10-11.17:48:40	85.5625	1707.81	30.3501	12.0487
2019-10-11.17:48:41	85.449	1709.58	26.9426	12.1821
2019-10-11.17:48:42	85.0159	1712.35	20.3985	12.7233
2019-10-11.17:48:43	84.0225	1717.26	13.9	12.9344
2019-10-11.17:48:44	82.8778	1723.29	7.06598	12.839
2019-10-11.17:48:45	81.6875	1729.39	-0.338681	13.3859
2019-10-11.17:48:46	80.6077	1735.19	-1.07144	13.2805
2019-10-11.17:48:47	80.0103	1740.19	2.418	12.2659
2019-10-11.17:48:48	79.8959	1743.7	5.07994	12.0576
2019-10-11.17:48:49	79.8065	1746.35	4.69136	12.6302
2019-10-11.17:48:50	79.6947	1749.1	1.40366	12.3495
2019-10-11.17:48:51	79.6872	1752.07	-2.50378	12.4571
2019-10-11.17:48:52	79.5019	1755.22	-3.95374	12.9588
[State]	Climb
2019-10-11.17:48:53	79.2165	1758.57	-1.75277	12.8207
2019-10-11.17:48:54	79.1287	1761.85	2.47119	12.3779
2019-10-11.17:48:55	79.1091	1764.64	5.4224	12.4777
2019-10-11.17:48:56	79.1084	1766.87	4.68111	12.6538
2019-10-11.17:48:57	79.1328	1769.15	0.679844	12.3669
2019-10-11.17:48:58	79.2217	1771.75	-3.62624	12.6625
2019-10-11.17:48:59	79.0194	1774.69	-4.74816	13.3719
2019-10-11.17:49:00	78.6796	1777.97	-1.7087	13.1659
2019-10-11.17:49:01	78.5356	1781.29	3.12869	12.7695
2019-10-11.17:49:02	78.4288	1784.07	6.381	13.0496
2019-10-11.17:49:03	78.4073	1786.19	5.10858	12.7737
2019-10-11.17:49:04	78.5641	1788.1	0.173303	12.2756
2019-10-11.17:49:05	78.8125	1790.24	-4.73224	12.6589
2019-10-11.17:49:06	78.7132	1792.68	-5.60283	13.4749
2019-10-11.17:49:07	78.4698	1795.54	-1.67282	13.0854
2019-10-11.17:49:08	78.4264	1798.53	3.07188	12.7179
2019-10-11.17:49:09	78.3483	1801.07	7.03705	13.175
2019-10-11.17:49:10	78.3181	1802.98	6.1506	13.1125
2019-10-11.17:49:11	78.456	1804.78	0.370545	12.3015
2019-10-11.17:49:12	78.7142	1806.84	-5.4551	12.7938
2019-10-11.17:49:13	78.5706	1809.19	-6.56617	13.8151
2019-10-11.17:49:14	78.2705	1812	-2.19604	13.2329
2019-10-11.17:49:15	78.2417	1814.92	2.3717	12.6712
2019-10-11.17:49:16	78.1952	1817.35	6.01822	13.0648
2019-10-11.17:49:17	78.2248	1819.06	8.33762	13.4098
2019-10-11.17:49:18	78.3105	1820.61	2.06215	12.6809
2019-10-11.17:49:19	78.4995	1822.72	-4.67827	13.0091
2019-10-11.17:49:20	78.2276	1825.29	-7.37709	14.5149
