DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-14.12:43:52	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-14.12:43:53	0.0853854	1654.75	-0.0245335	0.477567
2019-10-14.12:43:54	0.0535163	1654.78	-0.0370837	-0.0699337
2019-10-14.12:43:55	1.36374	1654.79	-0.0897221	-0.0973998
2019-10-14.12:43:56	4.63345	1654.79	-0.16695	0.135519
2019-10-14.12:43:57	8.47311	1654.79	-0.187747	0.240839
2019-10-14.12:43:58	12.389	1654.79	-0.234575	0.290906
2019-10-14.12:43:59	16.2332	1654.79	-0.4139	0.331684
2019-10-14.12:44:00	20.0128	1654.79	-0.792596	0.468966
2019-10-14.12:44:01	23.7334	1654.79	-1.17266	0.564563
2019-10-14.12:44:02	27.3797	1654.8	-1.49447	0.616828
2019-10-14.12:44:03	30.9559	1654.8	-1.70837	0.635842
2019-10-14.12:44:04	34.4348	1654.8	-1.86766	0.665765
2019-10-14.12:44:05	37.7809	1654.8	-2.01423	0.704558
2019-10-14.12:44:06	41.001	1654.81	-2.11545	0.740645
2019-10-14.12:44:07	44.1171	1654.81	-2.16248	0.777494
2019-10-14.12:44:08	47.1587	1654.81	-2.16396	0.82481
2019-10-14.12:44:09	50.1562	1654.82	-2.10866	0.882634
2019-10-14.12:44:10	53.1344	1654.82	-2.00766	0.945272
2019-10-14.12:44:11	56.1104	1654.83	-1.8771	1.00687
2019-10-14.12:44:12	59.096	1654.83	-1.72444	1.06865
2019-10-14.12:44:13	62.0998	1654.84	-1.55393	1.13146
2019-10-14.12:44:14	65.1278	1654.84	-1.36819	1.19566
2019-10-14.12:44:15	68.1849	1654.85	-1.16905	1.2612
2019-10-14.12:44:16	71.2742	1654.85	-0.958062	1.32793
2019-10-14.12:44:17	74.398	1654.86	-0.736575	1.39564
2019-10-14.12:44:18	77.5573	1654.87	-0.505914	1.46405
2019-10-14.12:44:19	80.7522	1654.88	-0.267458	1.53288
2019-10-14.12:44:20	84.0027	1654.89	-0.156491	1.59361
2019-10-14.12:44:21	87.3331	1654.9	-0.0623919	2.20471
[State]	TakeOff
2019-10-14.12:44:22	90.5386	1655.08	0.0557722	8.7382
2019-10-14.12:44:23	91.1693	1659.87	3.68779	12.7745
2019-10-14.12:44:24	90.2924	1668.3	9.74587	11.4898
2019-10-14.12:44:25	89.4393	1675.17	16.3539	11.7901
2019-10-14.12:44:26	88.6146	1680.6	23.9048	12.7718
2019-10-14.12:44:27	87.8952	1684.94	30.7348	12.9617
2019-10-14.12:44:28	87.3477	1688.08	30.3798	12.5543
2019-10-14.12:44:29	86.9962	1690.8	30.3772	11.7013
2019-10-14.12:44:30	86.7789	1693.23	30.3673	11.4434
2019-10-14.12:44:31	86.6016	1695.52	30.3537	11.7013
2019-10-14.12:44:32	86.4069	1697.73	30.3456	12.1767
2019-10-14.12:44:33	86.1884	1699.88	30.3461	12.4807
2019-10-14.12:44:34	85.9769	1701.95	30.3512	12.4813
2019-10-14.12:44:35	85.802	1703.94	30.3549	12.2853
2019-10-14.12:44:36	85.6715	1705.83	30.3544	12.0962
2019-10-14.12:44:37	85.5716	1707.63	30.3505	12.0453
2019-10-14.12:44:38	85.4675	1709.39	27.6025	12.163
2019-10-14.12:44:39	85.0856	1711.99	21.0422	12.624
2019-10-14.12:44:40	84.1352	1716.68	14.5634	13.003
2019-10-14.12:44:41	82.9941	1722.68	7.76976	12.7872
2019-10-14.12:44:42	81.806	1728.78	0.434897	13.3458
2019-10-14.12:44:43	80.7018	1734.64	-1.25948	13.3548
2019-10-14.12:44:44	80.0432	1739.75	2.06352	12.3679
2019-10-14.12:44:45	79.8976	1743.42	4.93465	11.9787
2019-10-14.12:44:46	79.8209	1746.08	4.87886	12.6335
2019-10-14.12:44:47	79.7008	1748.82	1.81327	12.3705
2019-10-14.12:44:48	79.6918	1751.76	-2.17955	12.4179
