DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-14.10:44:31	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-14.10:44:32	0.0731498	1654.75	-0.0268963	0.453951
2019-10-14.10:44:33	0.0572793	1654.78	-0.0383173	-0.11395
2019-10-14.10:44:34	1.63126	1654.79	-0.105679	-0.0721873
2019-10-14.10:44:35	5.00611	1654.79	-0.171809	0.152836
2019-10-14.10:44:36	8.86449	1654.79	-0.190993	0.247557
2019-10-14.10:44:37	12.7787	1654.79	-0.247276	0.296688
2019-10-14.10:44:38	16.614	1654.79	-0.44451	0.341623
2019-10-14.10:44:39	20.3879	1654.79	-0.829593	0.478771
2019-10-14.10:44:40	24.1016	1654.79	-1.2087	0.572093
2019-10-14.10:44:41	27.7403	1654.8	-1.52069	0.619471
2019-10-14.10:44:42	31.3096	1654.8	-1.71928	0.635074
2019-10-14.10:44:43	34.7754	1654.8	-1.88278	0.669183
2019-10-14.10:44:44	38.1083	1654.8	-2.02663	0.708235
2019-10-14.10:44:45	41.3168	1654.81	-2.12244	0.744098
2019-10-14.10:44:46	44.4241	1654.81	-2.16479	0.781836
2019-10-14.10:44:47	47.46	1654.81	-2.1614	0.829863
2019-10-14.10:44:48	50.4546	1654.82	-2.1002	0.889032
2019-10-14.10:44:49	53.4319	1654.82	-1.99578	0.951455
2019-10-14.10:44:50	56.4083	1654.83	-1.86274	1.01302
2019-10-14.10:44:51	59.3954	1654.83	-1.70814	1.07487
2019-10-14.10:44:52	62.4014	1654.84	-1.53601	1.13781
2019-10-14.10:44:53	65.4322	1654.84	-1.34885	1.20215
2019-10-14.10:44:54	68.4923	1654.85	-1.14847	1.26782
2019-10-14.10:44:55	71.585	1654.85	-0.936364	1.33466
2019-10-14.10:44:56	74.7123	1654.86	-0.7139	1.40245
2019-10-14.10:44:57	77.8752	1654.87	-0.482395	1.47092
2019-10-14.10:44:58	81.0736	1654.88	-0.24324	1.53978
2019-10-14.10:44:59	84.3327	1654.89	-0.150259	1.6004
2019-10-14.10:45:00	87.6683	1654.9	-0.0524857	2.36967
2019-10-14.10:45:01	90.7772	1655.18	0.0481568	9.85631
[State]	TakeOff
