DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-11.13:01:39	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-11.13:01:40	0.138669	1654.73	-0.0187188	0.449202
2019-10-11.13:01:41	0.0624603	1654.78	-0.0349405	0.0343216
2019-10-11.13:01:42	0.894569	1654.79	-0.0687657	-0.124905
2019-10-11.13:01:43	3.90275	1654.79	-0.159822	0.099103
2019-10-11.13:01:44	7.69202	1654.79	-0.183611	0.226899
2019-10-11.13:01:45	11.6073	1654.79	-0.217456	0.281031
2019-10-11.13:01:46	15.4696	1654.79	-0.382102	0.326126
2019-10-11.13:01:47	19.2608	1654.79	-0.723908	0.450636
2019-10-11.13:01:48	22.9946	1654.79	-1.09899	0.5482
2019-10-11.13:01:49	26.6564	1654.8	-1.43921	0.610739
2019-10-11.13:01:50	30.2458	1654.8	-1.67979	0.634866
2019-10-11.13:01:51	33.7496	1654.8	-1.83644	0.658275
2019-10-11.13:01:52	37.1222	1654.8	-1.9882	0.697106
2019-10-11.13:01:53	40.3661	1654.81	-2.09976	0.733705
2019-10-11.13:01:54	43.5008	1654.81	-2.15654	0.769201
2019-10-11.13:01:55	46.5549	1654.81	-2.16759	0.814826
2019-10-11.13:01:56	49.5589	1654.82	-2.12495	0.86943
2019-10-11.13:01:57	52.5394	1654.82	-2.03055	0.932849
2019-10-11.13:01:58	55.5147	1654.82	-1.90516	0.994571
2019-10-11.13:01:59	58.4976	1654.83	-1.7565	1.05623
2019-10-11.13:02:00	61.4972	1654.83	-1.58932	1.11879
2019-10-11.13:02:01	64.52	1654.84	-1.40646	1.18271
2019-10-11.13:02:02	67.571	1654.85	-1.20988	1.24799
2019-10-11.13:02:03	70.6536	1654.85	-1.00114	1.31449
2019-10-11.13:02:04	73.7704	1654.86	-0.781649	1.38203
2019-10-11.13:02:05	76.9226	1654.87	-0.552715	1.45033
[State]	TakeOff
2019-10-11.13:02:06	80.1104	1654.87	-0.315703	1.5191
2019-10-11.13:02:07	83.3457	1654.88	-0.16855	1.58055
2019-10-11.13:02:08	86.6637	1654.89	-0.0842775	1.8986
2019-10-11.13:02:09	89.9654	1655	0.0397876	6.39022
2019-10-11.13:02:10	91.3649	1658.25	0.0267553	13.2561
2019-10-11.13:02:11	90.8586	1666.55	0.0454559	11.4889
2019-10-11.13:02:12	90.4444	1674.09	0.0671784	11.3764
2019-10-11.13:02:13	90.2227	1680.76	0.0781744	11.2649
2019-10-11.13:02:14	89.9782	1687.15	0.0724871	11.5285
2019-10-11.13:02:15	89.7122	1693.62	0.0594825	11.4965
2019-10-11.13:02:16	89.4948	1699.93	0.0504296	11.428
2019-10-11.13:02:17	89.2598	1706.09	0.0497777	11.5208
2019-10-11.13:02:18	89.0138	1712.21	0.055417	11.5376
2019-10-11.13:02:19	88.7904	1718.26	0.0609463	11.578
2019-10-11.13:02:20	88.5971	1724.27	0.0622159	11.5924
2019-10-11.13:02:21	88.428	1730.21	0.0592931	11.6064
2019-10-11.13:02:22	88.2673	1736.08	0.055197	11.6191
2019-10-11.13:02:23	88.1053	1741.9	0.0528384	11.6371
2019-10-11.13:02:24	87.9417	1747.66	0.0530478	11.6575
2019-10-11.13:02:25	87.7831	1753.38	0.0546266	11.6771
[State]	Climb
2019-10-11.13:02:26	87.6363	1759.04	0.0557998	11.6931
2019-10-11.13:02:27	87.5056	1764.66	0.0556243	11.7037
2019-10-11.13:02:28	87.3915	1770.22	0.0543687	11.7134
2019-10-11.13:02:29	87.2894	1775.72	0.0529708	11.7235
2019-10-11.13:02:30	87.1964	1781.18	0.0522003	11.7333
2019-10-11.13:02:31	87.1117	1786.58	0.0521764	11.7429
2019-10-11.13:02:32	87.0367	1791.94	0.0524857	11.7509
2019-10-11.13:02:33	86.9722	1797.26	0.0526225	11.7568
2019-10-11.13:02:34	86.9175	1802.55	0.0523604	11.7608
2019-10-11.13:02:35	86.8711	1807.81	0.0518204	11.7636
2019-10-11.13:02:36	86.831	1813.04	0.0512838	11.7658
2019-10-11.13:02:37	86.796	1818.24	0.0509528	11.7677
2019-10-11.13:02:38	86.7659	1823.42	0.0508366	11.7691
2019-10-11.13:02:39	86.7407	1828.57	0.0508027	11.7697
2019-10-11.13:02:40	86.7204	1833.71	0.050708	11.7695
2019-10-11.13:02:41	86.7046	1838.83	0.0504985	11.7686
2019-10-11.13:02:42	86.6925	1843.94	0.0502183	11.7671
2019-10-11.13:02:43	86.6835	1849.03	0.0499502	11.7654
2019-10-11.13:02:44	86.6771	1854.11	0.0497478	11.7633
2019-10-11.13:02:45	86.6731	1859.18	0.0496079	11.761
2019-10-11.13:02:46	86.6715	1864.24	0.0494893	11.7584
2019-10-11.13:02:47	86.6721	1869.29	0.0493513	11.7554
2019-10-11.13:02:48	86.6747	1874.33	0.0491812	11.7521
2019-10-11.13:02:49	86.6789	1879.36	0.0489939	11.7486
2019-10-11.13:02:50	86.6847	1884.39	0.0488136	11.7449
2019-10-11.13:02:51	86.6917	1889.41	0.0486544	11.7411
2019-10-11.13:02:52	86.6998	1894.43	0.0485138	11.7371
2019-10-11.13:02:53	86.7089	1899.44	0.0483783	11.7334
2019-10-11.13:02:54	86.7188	1904.45	0.0482352	11.7303
2019-10-11.13:02:55	86.7289	1909.46	0.0480814	11.7281
2019-10-11.13:02:56	86.7387	1914.46	0.0479222	11.7269
2019-10-11.13:02:57	86.7477	1919.47	0.0477649	11.7264
2019-10-11.13:02:58	86.7557	1924.47	0.0476136	11.7264
2019-10-11.13:02:59	86.7625	1929.48	0.0474669	11.7266
2019-10-11.13:03:00	86.7684	1934.49	0.047321	11.7266
2019-10-11.13:03:01	86.7735	1939.5	0.0471726	11.726
2019-10-11.13:03:02	86.7785	1944.51	0.0470215	11.7245
2019-10-11.13:03:03	86.7837	1949.51	0.0468696	11.7222
2019-10-11.13:03:04	86.7896	1954.51	0.0467195	11.719
2019-10-11.13:03:05	86.7964	1959.51	0.0465722	11.7154
2019-10-11.13:03:06	86.8043	1964.5	0.0464273	11.7116
2019-10-11.13:03:07	86.8132	1969.49	0.0462835	11.708
2019-10-11.13:03:08	86.8227	1974.47	0.0461396	11.7049
2019-10-11.13:03:09	86.8325	1979.46	0.0459954	11.7026
2019-10-11.13:03:10	86.842	1984.44	0.045851	11.7011
2019-10-11.13:03:11	86.851	1989.42	0.045707	11.7004
2019-10-11.13:03:12	86.8591	1994.4	0.0455635	11.7002
2019-10-11.13:03:13	86.8661	1999.38	0.0454202	11.7002
2019-10-11.13:03:14	86.8723	2004.36	0.0452769	11.7001
2019-10-11.13:03:15	86.8778	2009.34	0.0451336	11.6994
2019-10-11.13:03:16	86.8829	2014.32	0.0449904	11.6981
2019-10-11.13:03:17	86.8883	2019.3	0.0448477	11.696
2019-10-11.13:03:18	86.8941	2024.28	0.044706	11.6931
2019-10-11.13:03:19	86.9008	2029.25	0.0445654	11.6897
2019-10-11.13:03:20	86.9085	2034.22	0.0444259	11.6861
2019-10-11.13:03:21	86.917	2039.18	0.0442873	11.6827
2019-10-11.13:03:22	86.9262	2044.14	0.0441493	11.6796
2019-10-11.13:03:23	86.9357	2049.1	0.0440119	11.6772
2019-10-11.13:03:24	86.945	2054.05	0.0438747	11.6756
2019-10-11.13:03:25	86.954	2059.01	0.0437377	11.6746
2019-10-11.13:03:26	86.9621	2063.96	0.0436008	11.6742
2019-10-11.13:03:27	86.9694	2068.92	0.0434638	11.674
2019-10-11.13:03:28	86.9758	2073.88	0.0433268	11.6737
2019-10-11.13:03:29	86.9815	2078.83	0.0431899	11.6731
2019-10-11.13:03:30	86.9869	2083.79	0.0430534	11.6719
2019-10-11.13:03:31	86.9924	2088.74	0.0429174	11.6699
2019-10-11.13:03:32	86.9982	2093.69	0.0427822	11.6673
2019-10-11.13:03:33	87.0048	2098.64	0.0426479	11.6642
2019-10-11.13:03:34	87.0122	2103.58	0.0425144	11.6608
2019-10-11.13:03:35	87.0204	2108.52	0.0423819	11.6575
2019-10-11.13:03:36	87.0293	2113.46	0.0422501	11.6544
2019-10-11.13:03:37	87.0385	2118.39	0.0421188	11.652
2019-10-11.13:03:38	87.0477	2123.32	0.0419879	11.6502
2019-10-11.13:03:39	87.0565	2128.25	0.0418571	11.649
2019-10-11.13:03:40	87.0647	2133.18	0.0417264	11.6484
2019-10-11.13:03:41	87.0722	2138.11	0.0415957	11.648
2019-10-11.13:03:42	87.0788	2143.04	0.041465	11.6476
2019-10-11.13:03:43	87.0848	2147.97	0.0413345	11.647
2019-10-11.13:03:44	87.0904	2152.9	0.0412042	11.6458
2019-10-11.13:03:45	87.096	2157.83	0.0410744	11.644
2019-10-11.13:03:46	87.1019	2162.75	0.0409453	11.6416
2019-10-11.13:03:47	87.1084	2167.68	0.040817	11.6387
2019-10-11.13:03:48	87.1156	2172.59	0.0406895	11.6355
2019-10-11.13:03:49	87.1235	2177.51	0.0405628	11.6323
2019-10-11.13:03:50	87.1321	2182.42	0.0404368	11.6294
2019-10-11.13:03:51	87.141	2187.33	0.0403114	11.6269
2019-10-11.13:03:52	87.15	2192.23	0.0401864	11.625
2019-10-11.13:03:53	87.1588	2197.14	0.0400616	11.6236
2019-10-11.13:03:54	87.167	2202.04	0.0399369	11.6228
2019-10-11.13:03:55	87.1746	2206.95	0.0398122	11.6222
2019-10-11.13:03:56	87.1814	2211.85	0.0396875	11.6217
2019-10-11.13:03:57	87.1876	2216.76	0.0395629	11.621
2019-10-11.13:03:58	87.1934	2221.66	0.0394386	11.6199
2019-10-11.13:03:59	87.1991	2226.56	0.0393148	11.6183
2019-10-11.13:04:00	87.2051	2231.46	0.0391915	11.6161
2019-10-11.13:04:01	87.2115	2236.36	0.0390689	11.6134
2019-10-11.13:04:02	87.2185	2241.26	0.0389471	11.6104
2019-10-11.13:04:03	87.2262	2246.15	0.038826	11.6073
2019-10-11.13:04:04	87.2345	2251.03	0.0387056	11.6044
2019-10-11.13:04:05	87.2432	2255.92	0.0385858	11.6019
2019-10-11.13:04:06	87.252	2260.8	0.0384664	11.5999
2019-10-11.13:04:07	87.2607	2265.68	0.0383472	11.5984
2019-10-11.13:04:08	87.2689	2270.56	0.0382282	11.5974
2019-10-11.13:04:09	87.2765	2275.44	0.0381092	11.5966
2019-10-11.13:04:10	87.2835	2280.32	0.0379903	11.596
2019-10-11.13:04:11	87.29	2285.2	0.0378715	11.5953
2019-10-11.13:04:12	87.296	2290.07	0.0377529	11.5942
2019-10-11.13:04:13	87.3018	2294.95	0.0376346	11.5927
2019-10-11.13:04:14	87.3078	2299.83	0.0375169	11.5906
2019-10-11.13:04:15	87.3142	2304.7	0.0373998	11.5881
2019-10-11.13:04:16	87.321	2309.57	0.0372834	11.5853
2019-10-11.13:04:17	87.3285	2314.43	0.0371677	11.5824
2019-10-11.13:04:18	87.3366	2319.3	0.0370527	11.5796
2019-10-11.13:04:19	87.345	2324.16	0.0369382	11.5771
2019-10-11.13:04:20	87.3537	2329.01	0.0368242	11.575
2019-10-11.13:04:21	87.3622	2333.87	0.0367104	11.5733
2019-10-11.13:04:22	87.3704	2338.72	0.0365968	11.5721
2019-10-11.13:04:23	87.3781	2343.58	0.0364833	11.5713
2019-10-11.13:04:24	87.3853	2348.43	0.0363698	11.5705
2019-10-11.13:04:25	87.3919	2353.28	0.0362564	11.5697
2019-10-11.13:04:26	87.3981	2358.14	0.0361433	11.5687
2019-10-11.13:04:27	87.4041	2362.99	0.0360304	11.5672
2019-10-11.13:04:28	87.4101	2367.84	0.035918	11.5653
