DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-14.10:09:37	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-14.10:09:38	0.0697241	1654.77	-0.0293537	0.357484
2019-10-14.10:09:39	0.110837	1654.78	-0.0431497	-0.211024
2019-10-14.10:09:40	2.21836	1654.79	-0.137093	-0.0126075
2019-10-14.10:09:41	5.76195	1654.79	-0.179596	0.182399
2019-10-14.10:09:42	9.64803	1654.79	-0.198347	0.259634
2019-10-14.10:09:43	13.5544	1654.79	-0.280961	0.308572
2019-10-14.10:09:44	17.3729	1654.79	-0.52969	0.376119
2019-10-14.10:09:45	21.1359	1654.79	-0.907562	0.500027
2019-10-14.10:09:46	24.8354	1654.79	-1.27956	0.585927
2019-10-14.10:09:47	28.4594	1654.8	-1.57068	0.624382
2019-10-14.10:09:48	32.0135	1654.8	-1.74564	0.636015
2019-10-14.10:09:49	35.4527	1654.8	-1.91372	0.676615
2019-10-14.10:09:50	38.7594	1654.8	-2.05023	0.715643
2019-10-14.10:09:51	41.9455	1654.81	-2.13466	0.750983
2019-10-14.10:09:52	45.0359	1654.81	-2.16801	0.790854
2019-10-14.10:09:53	48.0613	1654.82	-2.15483	0.840069
2019-10-14.10:09:54	51.0508	1654.82	-2.08225	0.901555
2019-10-14.10:09:55	54.0268	1654.82	-1.97118	0.963795
2019-10-14.10:09:56	57.0046	1654.83	-1.83339	1.02533
2019-10-14.10:09:57	59.9949	1654.83	-1.67502	1.08735
2019-10-14.10:09:58	63.0054	1654.84	-1.49972	1.15057
2019-10-14.10:09:59	66.0417	1654.84	-1.30978	1.21518
2019-10-14.10:10:00	69.1082	1654.85	-1.10694	1.2811
2019-10-14.10:10:01	72.2077	1654.86	-0.892658	1.34815
2019-10-14.10:10:02	75.3421	1654.86	-0.668279	1.4161
2019-10-14.10:10:03	78.5121	1654.87	-0.43513	1.48467
2019-10-14.10:10:04	81.7181	1654.88	-0.203177	1.55252
2019-10-14.10:10:05	84.9958	1654.89	-0.137403	1.61437
2019-10-14.10:10:06	88.3373	1654.92	-0.028272	2.86307
[State]	TakeOff
2019-10-14.10:10:07	91.1396	1655.6	0.0318649	11.6733
