DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
2019-10-14.12:20:28	86.8475	1987.42	0.0457645	11.7006
2019-10-14.12:20:29	86.856	1992.4	0.0456208	11.7002
2019-10-14.12:20:30	86.8634	1997.38	0.0454775	11.7002
2019-10-14.12:20:31	86.8699	2002.37	0.0453343	11.7002
2019-10-14.12:20:32	86.8756	2007.35	0.0451909	11.6998
2019-10-14.12:20:33	86.8809	2012.33	0.0450476	11.6987
2019-10-14.12:20:34	86.8861	2017.31	0.0449047	11.6969
2019-10-14.12:20:35	86.8917	2022.29	0.0447625	11.6943
2019-10-14.12:20:36	86.898	2027.26	0.0446215	11.6911
2019-10-14.12:20:37	86.9053	2032.23	0.0444816	11.6876
2019-10-14.12:20:38	86.9135	2037.2	0.0443426	11.684
2019-10-14.12:20:39	86.9224	2042.16	0.0442044	11.6808
2019-10-14.12:20:40	86.9318	2047.12	0.0440668	11.6781
2019-10-14.12:20:41	86.9413	2052.07	0.0439296	11.6761
2019-10-14.12:20:42	86.9505	2057.03	0.0437925	11.6749
2019-10-14.12:20:43	86.9589	2061.98	0.0436555	11.6743
2019-10-14.12:20:44	86.9666	2066.94	0.0435186	11.6741
2019-10-14.12:20:45	86.9733	2071.89	0.0433816	11.6739
2019-10-14.12:20:46	86.9793	2076.85	0.0432446	11.6734
2019-10-14.12:20:47	86.9848	2081.81	0.043108	11.6724
2019-10-14.12:20:48	86.9902	2086.76	0.0429717	11.6708
2019-10-14.12:20:49	86.9958	2091.71	0.0428362	11.6684
2019-10-14.12:20:50	87.0021	2096.66	0.0427015	11.6655
2019-10-14.12:20:51	87.0091	2101.61	0.0425677	11.6622
2019-10-14.12:20:52	87.0171	2106.55	0.0424348	11.6588
2019-10-14.12:20:53	87.0257	2111.48	0.0423027	11.6556
2019-10-14.12:20:54	87.0348	2116.42	0.0421712	11.6529
2019-10-14.12:20:55	87.0441	2121.35	0.0420402	11.6508
2019-10-14.12:20:56	87.0531	2126.28	0.0419094	11.6494
2019-10-14.12:20:57	87.0616	2131.21	0.0417787	11.6486
2019-10-14.12:20:58	87.0693	2136.14	0.041648	11.6481
2019-10-14.12:20:59	87.0762	2141.07	0.0415173	11.6478
2019-10-14.12:21:00	87.0824	2146	0.0413867	11.6473
2019-10-14.12:21:01	87.0882	2150.93	0.0412563	11.6463
2019-10-14.12:21:02	87.0937	2155.86	0.0411263	11.6448
2019-10-14.12:21:03	87.0995	2160.78	0.0409969	11.6426
2019-10-14.12:21:04	87.1057	2165.71	0.0408682	11.6399
2019-10-14.12:21:05	87.1126	2170.63	0.0407404	11.6368
2019-10-14.12:21:06	87.1202	2175.54	0.0406134	11.6336
2019-10-14.12:21:07	87.1286	2180.46	0.0404871	11.6305
2019-10-14.12:21:08	87.1374	2185.37	0.0403615	11.6278
2019-10-14.12:21:09	87.1464	2190.27	0.0402364	11.6257
2019-10-14.12:21:10	87.1553	2195.18	0.0401115	11.6241
2019-10-14.12:21:11	87.1638	2200.08	0.0399867	11.6231
2019-10-14.12:21:12	87.1716	2204.99	0.039862	11.6224
2019-10-14.12:21:13	87.1787	2209.89	0.0397374	11.6219
2019-10-14.12:21:14	87.1852	2214.8	0.0396127	11.6213
2019-10-14.12:21:15	87.1911	2219.7	0.0394883	11.6204
2019-10-14.12:21:16	87.1968	2224.6	0.0393643	11.619
2019-10-14.12:21:17	87.2027	2229.5	0.0392407	11.617
2019-10-14.12:21:18	87.2088	2234.4	0.0391178	11.6145
2019-10-14.12:21:19	87.2156	2239.3	0.0389957	11.6116
2019-10-14.12:21:20	87.2231	2244.19	0.0388743	11.6086
2019-10-14.12:21:21	87.2311	2249.08	0.0387537	11.6056
2019-10-14.12:21:22	87.2397	2253.96	0.0386337	11.6029
2019-10-14.12:21:23	87.2485	2258.85	0.0385141	11.6006
2019-10-14.12:21:24	87.2572	2263.73	0.0383949	11.5989
2019-10-14.12:21:25	87.2657	2268.61	0.0382758	11.5977
2019-10-14.12:21:26	87.2736	2273.49	0.0381568	11.5969
2019-10-14.12:21:27	87.2808	2278.36	0.0380379	11.5963
2019-10-14.12:21:28	87.2874	2283.24	0.037919	11.5956
2019-10-14.12:21:29	87.2936	2288.12	0.0378003	11.5947
2019-10-14.12:21:30	87.2995	2293	0.0376819	11.5933
2019-10-14.12:21:31	87.3054	2297.88	0.0375639	11.5915
2019-10-14.12:21:32	87.3116	2302.75	0.0374466	11.5892
2019-10-14.12:21:33	87.3182	2307.62	0.0373299	11.5865
2019-10-14.12:21:34	87.3255	2312.49	0.0372139	11.5836
2019-10-14.12:21:35	87.3333	2317.35	0.0370986	11.5807
2019-10-14.12:21:36	87.3416	2322.21	0.036984	11.578
2019-10-14.12:21:37	87.3502	2327.07	0.0368697	11.5758
2019-10-14.12:21:38	87.3588	2331.93	0.0367559	11.5739
2019-10-14.12:21:39	87.3672	2336.78	0.0366422	11.5726
2019-10-14.12:21:40	87.3751	2341.64	0.0365287	11.5716
2019-10-14.12:21:41	87.3825	2346.49	0.0364152	11.5708
2019-10-14.12:21:42	87.3893	2351.34	0.0363018	11.5701
2019-10-14.12:21:43	87.3956	2356.2	0.0361885	11.5691
2019-10-14.12:21:44	87.4017	2361.05	0.0360755	11.5679
2019-10-14.12:21:45	87.4077	2365.9	0.0359629	11.5661
2019-10-14.12:21:46	87.4138	2370.75	0.0358508	11.564
2019-10-14.12:21:47	87.4204	2375.59	0.0357394	11.5615
2019-10-14.12:21:48	87.4275	2380.44	0.0356285	11.5588
2019-10-14.12:21:49	87.4351	2385.28	0.0355184	11.556
2019-10-14.12:21:50	87.4432	2390.11	0.0354088	11.5533
2019-10-14.12:21:51	87.4516	2394.95	0.0352997	11.551
2019-10-14.12:21:52	87.46	2399.78	0.0351909	11.5491
2019-10-14.12:21:53	87.4683	2404.61	0.0350824	11.5476
2019-10-14.12:21:54	87.4762	2409.44	0.034974	11.5465
2019-10-14.12:21:55	87.4837	2414.27	0.0348657	11.5456
2019-10-14.12:21:56	87.4907	2419.1	0.0347575	11.5447
2019-10-14.12:21:57	87.4972	2423.92	0.0346495	11.5438
2019-10-14.12:21:58	87.5034	2428.75	0.0345417	11.5425
2019-10-14.12:21:59	87.5095	2433.58	0.0344342	11.5409
2019-10-14.12:22:00	87.5157	2438.4	0.0343271	11.5389
2019-10-14.12:22:01	87.5222	2443.22	0.0342207	11.5366
2019-10-14.12:22:02	87.5291	2448.04	0.0341148	11.534
2019-10-14.12:22:03	87.5366	2452.85	0.0340095	11.5313
2019-10-14.12:22:04	87.5444	2457.67	0.0339048	11.5288
2019-10-14.12:22:05	87.5526	2462.48	0.0338005	11.5264
2019-10-14.12:22:06	87.5609	2467.28	0.0336967	11.5244
2019-10-14.12:22:07	87.5691	2472.09	0.033593	11.5228
2019-10-14.12:22:08	87.577	2476.89	0.0334896	11.5216
2019-10-14.12:22:09	87.5845	2481.7	0.0333863	11.5205
2019-10-14.12:22:10	87.5916	2486.5	0.033283	11.5196
2019-10-14.12:22:11	87.5983	2491.3	0.0331799	11.5186
2019-10-14.12:22:12	87.6046	2496.11	0.033077	11.5174
2019-10-14.12:22:13	87.6108	2500.91	0.0329744	11.5159
2019-10-14.12:22:14	87.6171	2505.71	0.0328722	11.514
2019-10-14.12:22:15	87.6235	2510.5	0.0327705	11.5118
2019-10-14.12:22:16	87.6304	2515.3	0.0326693	11.5094
2019-10-14.12:22:17	87.6376	2520.09	0.0325687	11.5068
2019-10-14.12:22:18	87.6453	2524.88	0.0324687	11.5043
2019-10-14.12:22:19	87.6532	2529.66	0.0323691	11.502
2019-10-14.12:22:20	87.6614	2534.44	0.0322698	11.4999
2019-10-14.12:22:21	87.6695	2539.22	0.0321709	11.4982
2019-10-14.12:22:22	87.6774	2544	0.0320721	11.4968
2019-10-14.12:22:23	87.685	2548.78	0.0319735	11.4957
2019-10-14.12:22:24	87.6922	2553.56	0.031875	11.4946
2019-10-14.12:22:25	87.6989	2558.34	0.0317766	11.4936
2019-10-14.12:22:26	87.7054	2563.12	0.0316784	11.4924
2019-10-14.12:22:27	87.7117	2567.89	0.0315805	11.491
2019-10-14.12:22:28	87.718	2572.67	0.0314829	11.4892
2019-10-14.12:22:29	87.7288	2577.44	0.0315324	11.4144
2019-10-14.12:22:30	87.8384	2582.06	0.0324204	10.9828
2019-10-14.12:22:31	88.1087	2586.27	0.0329593	10.7017
2019-10-14.12:22:32	88.5034	2590.16	0.0333063	10.3833
2019-10-14.12:22:33	89.014	2593.75	0.0335653	10.0857
2019-10-14.12:22:34	89.6212	2597.11	0.0340017	9.7951
2019-10-14.12:22:35	90.3116	2600.27	0.0347422	9.51318
2019-10-14.12:22:36	91.0737	2603.27	0.0357223	9.23677
2019-10-14.12:22:37	91.8998	2606.16	0.0367674	8.96445
2019-10-14.12:22:38	92.784	2608.95	0.0377365	8.69496
2019-10-14.12:22:39	93.7183	2611.66	0.0385957	8.42964
2019-10-14.12:22:40	94.6948	2614.32	0.0394235	8.16374
2019-10-14.12:22:41	95.7124	2616.94	0.0403013	7.89733
2019-10-14.12:22:42	96.7701	2619.52	0.0412373	7.63214
2019-10-14.12:22:43	97.8671	2622.07	0.0421868	7.36764
2019-10-14.12:22:44	98.9978	2624.58	0.0431074	7.10656
2019-10-14.12:22:45	100.164	2627	0.0438739	6.87782
2019-10-14.12:22:46	101.354	2629.29	0.0445339	6.65885
2019-10-14.12:22:47	102.566	2631.47	0.0451649	6.46178
2019-10-14.12:22:48	103.786	2633.55	0.0458426	6.27374
2019-10-14.12:22:49	105.014	2635.59	0.0465545	6.08645
2019-10-14.12:22:50	106.246	2637.63	0.0473028	5.88835
2019-10-14.12:22:51	107.483	2639.67	0.0479793	5.69679
2019-10-14.12:22:52	108.725	2641.7	0.0485678	5.50529
2019-10-14.12:22:53	109.974	2643.71	0.0491013	5.3168
2019-10-14.12:22:54	111.222	2645.71	0.0496205	5.13446
2019-10-14.12:22:55	112.467	2647.68	0.0501412	4.9539
2019-10-14.12:22:56	113.705	2649.63	0.0506342	4.77966
2019-10-14.12:22:57	114.935	2651.54	0.051082	4.60813
2019-10-14.12:22:58	116.158	2653.42	0.0514848	4.4413
2019-10-14.12:22:59	117.374	2655.25	0.0518612	4.27862
2019-10-14.12:23:00	118.585	2657.05	0.0522224	4.12037
2019-10-14.12:23:01	119.789	2658.79	0.0525653	3.96662
2019-10-14.12:23:02	120.987	2660.49	0.0528824	3.81735
2019-10-14.12:23:03	122.176	2662.15	0.0531718	3.67354
2019-10-14.12:23:04	123.353	2663.75	0.0534394	3.53451
2019-10-14.12:23:05	124.517	2665.31	0.0536898	3.40037
2019-10-14.12:23:06	125.668	2666.82	0.0539223	3.27061
2019-10-14.12:23:07	126.805	2668.28	0.0541342	3.14546
2019-10-14.12:23:08	127.93	2669.69	0.0543266	3.02478
2019-10-14.12:23:09	129.04	2671.06	0.0545026	2.90887
2019-10-14.12:23:10	129.569	2673.5	0.0496212	6.88117
2019-10-14.12:23:11	128.133	2683.53	0.0517266	6.931
2019-10-14.12:23:12	127.212	2693.5	0.0555694	6.73564
2019-10-14.12:23:13	126.112	2703.49	0.0538299	7.72826
2019-10-14.12:23:14	124.682	2714.9	0.0502667	8.34299
2019-10-14.12:23:15	123.049	2727.16	0.0495008	8.62712
2019-10-14.12:23:16	121.481	2739.38	0.0510712	8.48145
2019-10-14.12:23:17	120.143	2750.85	0.0516271	8.14043
2019-10-14.12:23:18	119.134	2761.18	0.0504949	7.61489
2019-10-14.12:23:19	118.304	2770.58	0.0475032	8.08406
2019-10-14.12:23:20	117.309	2780.36	0.0463486	8.33451
2019-10-14.12:23:21	116.271	2790.36	0.0470653	8.44676
2019-10-14.12:23:22	115.287	2800.23	0.0477667	8.38913
2019-10-14.12:23:23	114.448	2809.66	0.0472966	8.17487
2019-10-14.12:23:24	113.715	2818.62	0.0452988	8.42147
2019-10-14.12:23:25	112.931	2827.65	0.0440963	8.49888
2019-10-14.12:23:26	112.185	2836.58	0.0441976	8.45887
2019-10-14.12:23:27	111.491	2845.3	0.0442296	8.60107
2019-10-14.12:23:28	110.803	2853.97	0.0438512	8.62346
2019-10-14.12:23:29	110.139	2862.52	0.042888	8.72459
2019-10-14.12:23:30	109.485	2871.01	0.0420606	8.7827
2019-10-14.12:23:31	108.837	2879.41	0.0415601	8.85763
2019-10-14.12:23:32	108.202	2887.72	0.0412626	8.9294
2019-10-14.12:23:33	107.577	2895.95	0.0408731	8.99629
2019-10-14.12:23:34	106.965	2904.1	0.0402778	9.06651
2019-10-14.12:23:35	106.366	2912.16	0.0396096	9.13266
2019-10-14.12:23:36	105.778	2920.14	0.0390146	9.19977
2019-10-14.12:23:37	105.202	2928.03	0.0385303	9.26499
2019-10-14.12:23:38	104.638	2935.84	0.0380766	9.32984
2019-10-14.12:23:39	104.084	2943.57	0.0375752	9.39383
2019-10-14.12:23:40	103.54	2951.22	0.0370301	9.4498
2019-10-14.12:23:41	103.01	2958.83	0.0365102	9.49871
2019-10-14.12:23:42	102.492	2966.38	0.0360196	9.5475
2019-10-14.12:23:43	101.988	2973.87	0.0355454	9.59617
2019-10-14.12:23:44	101.496	2981.32	0.0350725	9.64249
2019-10-14.12:23:45	101.017	2988.71	0.0345881	9.68872
2019-10-14.12:23:46	100.551	2996.06	0.0341024	9.73326
2019-10-14.12:23:47	100.098	3003.35	0.033625	9.77708
2019-10-14.12:23:48	99.6577	3010.59	0.0331606	9.82022
2019-10-14.12:23:49	99.2296	3017.78	0.0327075	9.862
2019-10-14.12:23:50	98.8144	3024.92	0.0322604	9.90472
2019-10-14.12:23:51	98.4119	3031.97	0.0317651	9.95862
2019-10-14.12:23:52	98.0206	3038.94	0.0312668	10.0077
2019-10-14.12:23:53	97.641	3045.83	0.0307852	10.0573
2019-10-14.12:23:54	97.271	3052.63	0.0303362	10.1022
2019-10-14.12:23:55	96.9297	3059.33	0.0300876	10.0509
2019-10-14.12:23:56	96.6678	3065.8	0.0300046	9.90734
2019-10-14.12:23:57	96.5216	3071.93	0.0299628	9.69644
2019-10-14.12:23:58	96.511	3077.66	0.0298935	9.44706
2019-10-14.12:23:59	96.6367	3082.97	0.0298138	9.19386
2019-10-14.12:24:00	96.8804	3087.91	0.029781	8.9717
2019-10-14.12:24:01	97.2081	3092.56	0.0298262	8.81041
2019-10-14.12:24:02	97.5752	3097.07	0.0299261	8.73052
2019-10-14.12:24:03	97.9359	3101.58	0.0300993	8.69137
2019-10-14.12:24:04	98.3776	3106.03	0.0311304	8.2384
2019-10-14.12:24:05	98.9659	3110.07	0.0317283	7.99935
2019-10-14.12:24:06	99.6439	3113.83	0.0321225	7.69052
2019-10-14.12:24:07	100.42	3117.26	0.0322744	7.44873
2019-10-14.12:24:08	101.269	3120.44	0.0326299	7.18322
2019-10-14.12:24:09	102.182	3123.36	0.0331985	6.95476
2019-10-14.12:24:10	103.149	3126.08	0.0339152	6.73142
2019-10-14.12:24:11	104.155	3128.63	0.0345719	6.53081
2019-10-14.12:24:12	105.194	3131.04	0.0351102	6.33387
2019-10-14.12:24:13	106.257	3133.37	0.0356413	6.12983
2019-10-14.12:24:14	107.341	3135.65	0.036204	5.93528
2019-10-14.12:24:15	108.442	3137.88	0.0368017	5.74191
2019-10-14.12:24:16	109.56	3140.06	0.0373814	5.55328
2019-10-14.12:24:17	110.694	3142.19	0.0379116	5.36751
2019-10-14.12:24:18	111.839	3144.27	0.0383941	5.18826
