DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-14.15:53:36	85.8665	1703.15	30.3538	12.3741
2019-10-14.15:53:37	85.7189	1705.08	30.3551	12.1596
2019-10-14.15:53:38	85.6094	1706.92	30.3523	12.0465
2019-10-14.15:53:39	85.517	1708.68	29.9881	12.0891
2019-10-14.15:53:40	85.2991	1710.74	23.6414	12.3392
2019-10-14.15:53:41	84.568	1714.53	17.183	13.128
2019-10-14.15:53:42	83.453	1720.25	10.534	12.6992
2019-10-14.15:53:43	82.2852	1726.35	3.45297	13.1427
2019-10-14.15:53:44	81.1178	1732.36	-2.45628	13.5009
2019-10-14.15:53:45	80.2257	1737.84	0.591881	12.7976
2019-10-14.15:53:46	79.914	1742.15	4.04331	11.8812
2019-10-14.15:53:47	79.8698	1745.04	5.30445	12.4939
2019-10-14.15:53:48	79.7383	1747.7	3.31723	12.4936
2019-10-14.15:53:49	79.6865	1750.56	-0.679344	12.3288
2019-10-14.15:53:50	79.6236	1753.62	-3.67971	12.7259
2019-10-14.15:53:51	79.3514	1756.88	-3.26782	12.9916
[State]	Climb
2019-10-14.15:53:52	79.1445	1760.25	0.297663	12.5641
2019-10-14.15:53:53	79.1158	1763.33	4.30986	12.3866
2019-10-14.15:53:54	79.1101	1765.79	5.5615	12.5949
2019-10-14.15:53:55	79.1087	1767.97	2.94955	12.5202
2019-10-14.15:53:56	79.1923	1770.41	-1.67951	12.3974
2019-10-14.15:53:57	79.1592	1773.18	-4.72869	13.0772
2019-10-14.15:53:58	78.8414	1776.3	-3.67555	13.3841
2019-10-14.15:53:59	78.5883	1779.66	0.760684	12.8946
2019-10-14.15:54:00	78.4793	1782.77	5.28879	12.8813
2019-10-14.15:54:01	78.3984	1785.19	6.32936	13.0172
2019-10-14.15:54:02	78.4614	1787.13	2.91662	12.4953
2019-10-14.15:54:03	78.7165	1789.14	-2.57377	12.2982
2019-10-14.15:54:04	78.806	1791.41	-5.81759	13.1744
2019-10-14.15:54:05	78.5807	1794.06	-4.12668	13.4024
2019-10-14.15:54:06	78.4374	1797.06	0.874226	12.7837
2019-10-14.15:54:07	78.3915	1799.87	5.0595	12.9139
2019-10-14.15:54:08	78.3243	1802.08	7.53885	13.3439
