DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-14.09:17:36	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-14.09:17:37	0.28776	1654.67	-0.0080111	0.192967
2019-10-14.09:17:38	0.0707265	1654.77	-0.0307623	0.22717
2019-10-14.09:17:39	0.379193	1654.79	-0.0512812	-0.163215
2019-10-14.09:17:40	2.86095	1654.79	-0.153824	0.0397127
2019-10-14.09:17:41	6.52851	1654.79	-0.181944	0.203528
2019-10-14.09:17:42	10.4319	1654.79	-0.20508	0.269116
2019-10-14.09:17:43	14.3237	1654.79	-0.324194	0.318347
2019-10-14.09:17:44	18.1292	1654.79	-0.617158	0.413516
2019-10-14.09:17:45	21.8813	1654.79	-0.985788	0.520953
2019-10-14.09:17:46	25.566	1654.79	-1.34723	0.597769
2019-10-14.09:17:47	29.1759	1654.8	-1.61726	0.628924
2019-10-14.09:17:48	32.712	1654.8	-1.78166	0.643467
2019-10-14.09:17:49	36.1245	1654.8	-1.94494	0.684952
2019-10-14.09:17:50	39.4056	1654.81	-2.07184	0.723019
2019-10-14.09:17:51	42.5703	1654.81	-2.14459	0.757893
2019-10-14.09:17:52	45.6452	1654.81	-2.16932	0.800236
2019-10-14.09:17:53	48.6612	1654.82	-2.14588	0.850622
2019-10-14.09:17:54	51.6465	1654.82	-2.06265	0.914055
2019-10-14.09:17:55	54.6218	1654.82	-1.94551	0.976117
2019-10-14.09:17:56	57.6014	1654.83	-1.80321	1.03767
2019-10-14.09:17:57	60.5952	1654.83	-1.64123	1.09988
2019-10-14.09:17:58	63.6104	1654.84	-1.46284	1.16338
2019-10-14.09:17:59	66.6525	1654.84	-1.27019	1.22827
2019-10-14.09:18:00	69.7253	1654.85	-1.06495	1.29442
2019-10-14.09:18:01	72.8317	1654.86	-0.848548	1.36167
2019-10-14.09:18:02	75.9732	1654.86	-0.622307	1.42977
[State]	TakeOff
2019-10-14.09:18:03	79.1503	1654.87	-0.38757	1.49844
2019-10-14.09:18:04	82.3668	1654.88	-0.186737	1.56285
2019-10-14.09:18:05	85.6628	1654.89	-0.124145	1.63444
2019-10-14.09:18:06	89.0005	1654.94	0.000505	3.80515
2019-10-14.09:18:07	91.3357	1656.4	0.0303577	12.8552
2019-10-14.09:18:08	90.9972	1664.07	0.0393129	11.675
2019-10-14.09:18:09	90.5566	1671.93	0.0610197	11.5021
2019-10-14.09:18:10	90.276	1678.84	0.0767757	11.1485
2019-10-14.09:18:11	90.062	1685.22	0.075515	11.5091
2019-10-14.09:18:12	89.7857	1691.69	0.0634003	11.5191
2019-10-14.09:18:13	89.5577	1698.06	0.0523468	11.4222
2019-10-14.09:18:14	89.3346	1704.24	0.049063	11.5037
2019-10-14.09:18:15	89.0854	1710.38	0.0534531	11.5292
2019-10-14.09:18:16	88.8547	1716.45	0.0596224	11.5685
2019-10-14.09:18:17	88.6517	1722.47	0.0623604	11.5886
2019-10-14.09:18:18	88.4773	1728.43	0.0604553	11.6025
2019-10-14.09:18:19	88.3154	1734.33	0.0563453	11.6148
2019-10-14.09:18:20	88.1542	1740.16	0.0532663	11.6313
2019-10-14.09:18:21	87.9906	1745.94	0.0527601	11.6513
2019-10-14.09:18:22	87.8297	1751.67	0.0541213	11.6715
2019-10-14.09:18:23	87.6789	1757.35	0.0555719	11.6887
[State]	Climb
2019-10-14.09:18:24	87.5429	1762.98	0.0558218	11.7011
2019-10-14.09:18:25	87.4242	1768.56	0.0548072	11.7102
2019-10-14.09:18:26	87.319	1774.08	0.0533483	11.7206
2019-10-14.09:18:27	87.2234	1779.54	0.0523452	11.7304
2019-10-14.09:18:28	87.1362	1784.96	0.0521236	11.7401
2019-10-14.09:18:29	87.0582	1790.34	0.0523911	11.7487
2019-10-14.09:18:30	86.9904	1795.67	0.0526205	11.7552
2019-10-14.09:18:31	86.933	1800.97	0.0524791	11.7598
2019-10-14.09:18:32	86.8843	1806.24	0.0519951	11.7629
2019-10-14.09:18:33	86.8424	1811.47	0.051429	11.7652
2019-10-14.09:18:34	86.806	1816.68	0.0510263	11.7672
2019-10-14.09:18:35	86.7745	1821.86	0.0508554	11.7687
2019-10-14.09:18:36	86.7478	1827.03	0.0508139	11.7696
2019-10-14.09:18:37	86.726	1832.17	0.0507482	11.7697
2019-10-14.09:18:38	86.7089	1837.3	0.0505722	11.7689
2019-10-14.09:18:39	86.6958	1842.41	0.0503048	11.7676
2019-10-14.09:18:40	86.6859	1847.5	0.0500251	11.7659
2019-10-14.09:18:41	86.6788	1852.59	0.0498007	11.764
2019-10-14.09:18:42	86.6741	1857.66	0.0496454	11.7617
2019-10-14.09:18:43	86.6718	1862.72	0.0495254	11.7592
2019-10-14.09:18:44	86.6717	1867.77	0.0493961	11.7563
2019-10-14.09:18:45	86.6737	1872.82	0.0492351	11.7531
