DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-14.12:32:36	88.3314	1733.74	0.0567554	11.6135
2019-10-14.12:32:37	88.1705	1739.58	0.0534647	11.6294
2019-10-14.12:32:38	88.007	1745.37	0.052701	11.6492
2019-10-14.12:32:39	87.8454	1751.1	0.0539513	11.6696
2019-10-14.12:32:40	87.6934	1756.78	0.0554687	11.6872
[State]	Climb
2019-10-14.12:32:41	87.5557	1762.42	0.0558615	11.7002
2019-10-14.12:32:42	87.4354	1768	0.0549459	11.7092
2019-10-14.12:32:43	87.3291	1773.53	0.0534852	11.7196
2019-10-14.12:32:44	87.2326	1779	0.0524101	11.7294
2019-10-14.12:32:45	87.1445	1784.42	0.0521154	11.7392
2019-10-14.12:32:46	87.0655	1789.8	0.0523578	11.7479
2019-10-14.12:32:47	86.9967	1795.14	0.0526116	11.7547
2019-10-14.12:32:48	86.9383	1800.44	0.0525117	11.7594
2019-10-14.12:32:49	86.8888	1805.71	0.0520522	11.7626
2019-10-14.12:32:50	86.8463	1810.95	0.0514812	11.765
2019-10-14.12:32:51	86.8094	1816.16	0.0510556	11.767
2019-10-14.12:32:52	86.7774	1821.35	0.0508641	11.7686
2019-10-14.12:32:53	86.7502	1826.51	0.0508168	11.7696
2019-10-14.12:32:54	86.728	1831.66	0.0507591	11.7697
2019-10-14.12:32:55	86.7104	1836.79	0.0505949	11.769
2019-10-14.12:32:56	86.6969	1841.9	0.0503335	11.7678
2019-10-14.12:32:57	86.6868	1846.99	0.0500513	11.7661
2019-10-14.12:32:58	86.6794	1852.08	0.0498198	11.7642
2019-10-14.12:32:59	86.6744	1857.15	0.0496586	11.762
2019-10-14.12:33:00	86.6719	1862.21	0.0495372	11.7595
2019-10-14.12:33:01	86.6716	1867.27	0.0494104	11.7566
2019-10-14.12:33:02	86.6734	1872.31	0.0492526	11.7535
2019-10-14.12:33:03	86.677	1877.35	0.0490693	11.75
2019-10-14.12:33:04	86.6822	1882.38	0.0488836	11.7464
2019-10-14.12:33:05	86.6887	1887.41	0.0487154	11.7426
2019-10-14.12:33:06	86.6964	1892.43	0.0485686	11.7387
2019-10-14.12:33:07	86.7052	1897.44	0.0484328	11.7348
2019-10-14.12:33:08	86.7148	1902.45	0.0482938	11.7315
2019-10-14.12:33:09	86.7249	1907.46	0.048144	11.7289
2019-10-14.12:33:10	86.7349	1912.46	0.047986	11.7273
2019-10-14.12:33:11	86.7442	1917.47	0.0478272	11.7265
2019-10-14.12:33:12	86.7526	1922.47	0.0476734	11.7264
2019-10-14.12:33:13	86.7599	1927.48	0.0475253	11.7266
2019-10-14.12:33:14	86.7661	1932.49	0.0473795	11.7267
2019-10-14.12:33:15	86.7715	1937.5	0.0472323	11.7263
2019-10-14.12:33:16	86.7765	1942.5	0.0470822	11.7252
2019-10-14.12:33:17	86.7816	1947.51	0.0469303	11.7232
2019-10-14.12:33:18	86.7871	1952.51	0.0467792	11.7204
2019-10-14.12:33:19	86.7936	1957.51	0.0466308	11.7169
2019-10-14.12:33:20	86.801	1962.51	0.0464851	11.7131
2019-10-14.12:33:21	86.8095	1967.5	0.046341	11.7094
2019-10-14.12:33:22	86.8188	1972.48	0.0461972	11.7061
2019-10-14.12:33:23	86.8285	1977.46	0.0460531	11.7034
2019-10-14.12:33:24	86.8383	1982.44	0.0459087	11.7016
2019-10-14.12:33:25	86.8475	1987.42	0.0457645	11.7006
2019-10-14.12:33:26	86.856	1992.4	0.0456208	11.7002
2019-10-14.12:33:27	86.8634	1997.38	0.0454775	11.7002
2019-10-14.12:33:28	86.8699	2002.37	0.0453343	11.7002
2019-10-14.12:33:29	86.8756	2007.35	0.0451909	11.6998
