DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-11.12:50:25	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-11.12:50:26	0.105824	1654.74	-0.0218118	0.477614
2019-10-11.12:50:27	0.0580021	1654.78	-0.0360724	-0.0208364
2019-10-11.12:50:28	1.11722	1654.79	-0.0772162	-0.115218
2019-10-11.12:50:29	4.26532	1654.79	-0.162729	0.117435
2019-10-11.12:50:30	8.08221	1654.79	-0.185233	0.233924
2019-10-11.12:50:31	11.9985	1654.79	-0.224724	0.285652
2019-10-11.12:50:32	15.8516	1654.79	-0.39437	0.327351
2019-10-11.12:50:33	19.6371	1654.79	-0.757514	0.459768
2019-10-11.12:50:34	23.3644	1654.79	-1.13617	0.556587
2019-10-11.12:50:35	27.0184	1654.8	-1.46735	0.613958
2019-10-11.12:50:36	30.6012	1654.8	-1.69592	0.635962
2019-10-11.12:50:37	34.0928	1654.8	-1.8524	0.662234
2019-10-11.12:50:38	37.4522	1654.8	-2.00145	0.700867
2019-10-11.12:50:39	40.6841	1654.81	-2.10789	0.737184
2019-10-11.12:50:40	43.8093	1654.81	-2.15973	0.773278
2019-10-11.12:50:41	46.857	1654.81	-2.16602	0.819796
2019-10-11.12:50:42	49.8577	1654.82	-2.1169	0.876086
2019-10-11.12:50:43	52.837	1654.82	-2.01925	0.939072
2019-10-11.12:50:44	55.8125	1654.82	-1.89124	1.00072
2019-10-11.12:50:45	58.7967	1654.83	-1.74056	1.06243
2019-10-11.12:50:46	61.7984	1654.83	-1.5717	1.12511
2019-10-11.12:50:47	64.8238	1654.84	-1.38739	1.18917
2019-10-11.12:50:48	67.8778	1654.85	-1.18952	1.25458
2019-10-11.12:50:49	70.9638	1654.85	-0.979655	1.32121
2019-10-11.12:50:50	74.0841	1654.86	-0.759158	1.38883
2019-10-11.12:50:51	77.2398	1654.87	-0.529355	1.45719
2019-10-11.12:50:52	80.4311	1654.88	-0.291613	1.52599
2019-10-11.12:50:53	83.6738	1654.88	-0.162582	1.58698
[State]	TakeOff
2019-10-11.12:50:54	86.9981	1654.9	-0.0716218	2.04685
2019-10-11.12:50:55	90.2666	1655.03	0.0482835	7.54912
2019-10-11.12:50:56	91.2468	1659.05	3.09394	13.0302
2019-10-11.12:50:57	90.3809	1667.52	9.12141	11.4515
2019-10-11.12:50:58	89.5164	1674.56	15.6544	11.7111
2019-10-11.12:50:59	88.7006	1680.1	23.1082	12.7184
2019-10-11.12:51:00	87.9541	1684.58	30.9198	12.9309
2019-10-11.12:51:01	87.3954	1687.78	30.3937	12.6535
2019-10-11.12:51:02	87.023	1690.55	30.3784	11.7586
2019-10-11.12:51:03	86.7978	1693	30.3687	11.445
2019-10-11.12:51:04	86.6194	1695.3	30.355	11.6578
2019-10-11.12:51:05	86.4278	1697.51	30.346	12.1323
