DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-11.16:23:13	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-11.16:23:14	0.0853854	1654.75	-0.0245335	0.477567
2019-10-11.16:23:15	0.0535163	1654.78	-0.0370837	-0.0699337
2019-10-11.16:23:16	1.36374	1654.79	-0.0897221	-0.0973998
2019-10-11.16:23:17	4.63345	1654.79	-0.16695	0.135519
2019-10-11.16:23:18	8.47311	1654.79	-0.187747	0.240839
2019-10-11.16:23:19	12.389	1654.79	-0.234575	0.290906
2019-10-11.16:23:20	16.2332	1654.79	-0.4139	0.331684
2019-10-11.16:23:21	20.0128	1654.79	-0.792596	0.468966
2019-10-11.16:23:22	23.7334	1654.79	-1.17266	0.564563
2019-10-11.16:23:23	27.3797	1654.8	-1.49447	0.616828
2019-10-11.16:23:24	30.9559	1654.8	-1.70837	0.635842
2019-10-11.16:23:25	34.4348	1654.8	-1.86766	0.665765
2019-10-11.16:23:26	37.7809	1654.8	-2.01423	0.704558
2019-10-11.16:23:27	41.001	1654.81	-2.11545	0.740645
2019-10-11.16:23:28	44.1171	1654.81	-2.16248	0.777494
2019-10-11.16:23:29	47.1587	1654.81	-2.16396	0.82481
2019-10-11.16:23:30	50.1562	1654.82	-2.10866	0.882634
2019-10-11.16:23:31	53.1344	1654.82	-2.00766	0.945272
2019-10-11.16:23:32	56.1104	1654.83	-1.8771	1.00687
2019-10-11.16:23:33	59.096	1654.83	-1.72444	1.06865
2019-10-11.16:23:34	62.0998	1654.84	-1.55393	1.13146
2019-10-11.16:23:35	65.1278	1654.84	-1.36819	1.19566
2019-10-11.16:23:36	68.1849	1654.85	-1.16905	1.2612
[State]	TakeOff
2019-10-11.16:23:37	71.2742	1654.85	-0.958062	1.32793
2019-10-11.16:23:38	74.398	1654.86	-0.736575	1.39564
2019-10-11.16:23:39	77.5573	1654.87	-0.505914	1.46405
2019-10-11.16:23:40	80.7522	1654.88	-0.267458	1.53288
2019-10-11.16:23:41	84.0027	1654.89	-0.156491	1.59361
2019-10-11.16:23:42	87.3331	1654.9	-0.0623919	2.20471
2019-10-11.16:23:43	90.5386	1655.08	0.0557722	8.7382
2019-10-11.16:23:44	91.3812	1659.73	-5.62083	12.893
2019-10-11.16:23:45	91.4363	1667.44	-8.63201	11.6941
2019-10-11.16:23:46	91.9151	1673.56	-6.26806	11.7199
2019-10-11.16:23:47	92.3286	1679.36	-3.01899	11.7999
2019-10-11.16:23:48	92.499	1685.48	-0.66808	12.0879
2019-10-11.16:23:49	92.4519	1692.03	-0.447296	12.4802
2019-10-11.16:23:50	92.2972	1699.09	-1.79353	12.8149
2019-10-11.16:23:51	92.0624	1706.61	-2.81244	13.1658
2019-10-11.16:23:52	91.6745	1714.47	-2.08689	13.2922
2019-10-11.16:23:53	91.3607	1722.34	-0.0367221	13.0415
2019-10-11.16:23:54	91.1009	1729.84	1.59163	12.9025
2019-10-11.16:23:55	90.9362	1736.88	1.39907	12.6759
2019-10-11.16:23:56	90.9806	1743.47	-0.327935	12.3449
2019-10-11.16:23:57	91.2387	1749.69	-1.86245	12.1247
2019-10-11.16:23:58	91.5318	1755.63	-1.64543	11.9846
[State]	Climb
2019-10-11.16:23:59	91.9115	1761.44	0.1825	11.8121
2019-10-11.16:24:00	92.2304	1767.22	1.90274	11.9076
2019-10-11.16:24:01	92.4036	1773.14	1.8716	12.1068
2019-10-11.16:24:02	92.4969	1779.4	0.137938	12.276
2019-10-11.16:24:03	92.5365	1786.1	-1.5905	12.557
2019-10-11.16:24:04	92.3725	1793.25	-1.59909	12.882
2019-10-11.16:24:05	92.1305	1800.77	0.121938	12.9591
2019-10-11.16:24:06	91.8177	1808.39	1.89361	13.0655
2019-10-11.16:24:07	91.4454	1815.93	2.00231	13.115
2019-10-11.16:24:08	91.1633	1823.3	0.338206	12.9568
2019-10-11.16:24:09	91.0692	1830.45	-1.51814	12.7912
2019-10-11.16:24:10	91.0297	1837.31	-1.77649	12.6659
2019-10-11.16:24:11	91.1251	1843.86	-0.17279	12.3251
2019-10-11.16:24:12	91.3478	1850.03	1.77115	12.0749
2019-10-11.16:24:13	91.5835	1855.83	2.19278	11.9849
2019-10-11.16:24:14	91.8688	1861.48	0.677454	11.9045
2019-10-11.16:24:15	92.2164	1867.24	-1.32129	11.9584
2019-10-11.16:24:16	92.4281	1873.28	-1.84949	12.2176
2019-10-11.16:24:17	92.5142	1879.72	-0.384738	12.3425
2019-10-11.16:24:18	92.5064	1886.47	1.6363	12.5118
2019-10-11.16:24:19	92.31	1893.44	2.23803	12.7928
2019-10-11.16:24:20	92.0402	1900.62	0.837856	12.9003
2019-10-11.16:24:21	91.8266	1907.98	-1.21545	12.9655
2019-10-11.16:24:22	91.5726	1915.41	-1.92914	13.0807
2019-10-11.16:24:23	91.3364	1922.79	-0.607666	12.9337
2019-10-11.16:24:24	91.2297	1929.92	1.48224	12.6916
2019-10-11.16:24:25	91.1598	1936.61	2.33899	12.5646
2019-10-11.16:24:26	91.2046	1942.9	1.13438	12.3081
2019-10-11.16:24:27	91.4468	1948.93	-1.00658	12.0857
2019-10-11.16:24:28	91.7365	1954.81	-2.02672	12.0776
2019-10-11.16:24:29	91.9965	1960.69	-0.921315	12.0013
2019-10-11.16:24:30	92.2926	1966.61	1.24897	11.9238
2019-10-11.16:24:31	92.4553	1972.57	2.37888	12.115
2019-10-11.16:24:32	92.5109	1978.71	1.37277	12.2544
2019-10-11.16:24:33	92.5536	1985.18	-0.796928	12.3999
2019-10-11.16:24:34	92.4989	1992	-2.0089	12.6991
2019-10-11.16:24:35	92.292	1999.17	-1.07249	12.8513
2019-10-11.16:24:36	92.0918	2006.52	1.09265	12.8239
2019-10-11.16:24:37	91.8158	2013.79	2.3832	12.9208
2019-10-11.16:24:38	91.5486	2020.89	1.55376	12.8461
2019-10-11.16:24:39	91.4348	2027.82	-0.618039	12.6603
2019-10-11.16:24:40	91.4405	2034.55	-2.056	12.591
2019-10-11.16:24:41	91.4633	2041.07	-1.36096	12.4335
2019-10-11.16:24:42	91.6365	2047.36	0.812173	12.1172
2019-10-11.16:24:43	91.829	2053.33	2.383	12.0491
2019-10-11.16:24:44	92.0178	2059.07	1.83877	11.9879
2019-10-11.16:24:45	92.275	2064.82	-0.311991	11.9223
2019-10-11.16:24:46	92.5431	2070.74	-1.99055	12.0819
2019-10-11.16:24:47	92.643	2076.94	-1.54441	12.278
2019-10-11.16:24:48	92.702	2083.47	0.588556	12.3008
2019-10-11.16:24:49	92.6284	2090.16	2.3228	12.5225
2019-10-11.16:24:50	92.4248	2096.99	1.9719	12.6945
2019-10-11.16:24:51	92.232	2103.98	-0.127855	12.7187
2019-10-11.16:24:52	92.0893	2111.09	-1.94826	12.8235
2019-10-11.16:24:53	91.8672	2118.25	-1.71313	12.8786
2019-10-11.16:24:54	91.7369	2125.34	0.351442	12.6394
2019-10-11.16:24:55	91.6639	2132.13	2.26242	12.5206
2019-10-11.16:24:56	91.6232	2138.53	2.18422	12.3958
2019-10-11.16:24:57	91.7213	2144.66	0.174122	12.1511
2019-10-11.16:24:58	91.976	2150.64	-1.85783	12.0656
2019-10-11.16:24:59	92.1734	2156.56	-1.93297	12.1069
2019-10-11.16:25:00	92.398	2162.55	0.0322686	11.9585
2019-10-11.16:25:01	92.5997	2168.52	2.13832	11.9982
2019-10-11.16:25:02	92.6736	2174.52	2.3406	12.1655
2019-10-11.16:25:03	92.7096	2180.71	0.441364	12.2234
2019-10-11.16:25:04	92.7638	2187.19	-1.71956	12.397
2019-10-11.16:25:05	92.6518	2193.97	-2.01969	12.6708
2019-10-11.16:25:06	92.4882	2201.02	-0.169598	12.656
2019-10-11.16:25:07	92.3197	2208.1	2.02771	12.6735
2019-10-11.16:25:08	92.0812	2215.03	2.44264	12.7401
2019-10-11.16:25:09	91.9081	2221.83	0.669805	12.5925
2019-10-11.16:25:10	91.904	2228.5	-1.60678	12.4804
2019-10-11.16:25:11	91.895	2235.03	-2.18395	12.4926
2019-10-11.16:25:12	91.9443	2241.44	-0.493297	12.2495
2019-10-11.16:25:13	92.1094	2247.61	1.84813	12.0487
2019-10-11.16:25:14	92.2397	2253.49	2.58575	12.0536
2019-10-11.16:25:15	92.3989	2259.25	1.00331	11.9497
2019-10-11.16:25:16	92.6564	2265.09	-1.38928	11.9509
2019-10-11.16:25:17	92.8088	2271.1	-2.25587	12.1872
2019-10-11.16:25:18	92.8567	2277.41	-0.743544	12.2313
2019-10-11.16:25:19	92.8938	2283.91	1.66954	12.2636
2019-10-11.16:25:20	92.7787	2290.47	2.62891	12.492
2019-10-11.16:25:21	92.6079	2297.12	1.20657	12.5361
2019-10-11.16:25:22	92.5167	2303.93	-1.23104	12.5586
2019-10-11.16:25:23	92.3764	2310.83	-2.3128	12.7288
2019-10-11.16:25:24	92.2005	2317.77	-0.982105	12.6419
2019-10-11.16:25:25	92.1427	2324.6	1.47648	12.4255
2019-10-11.16:25:26	92.0743	2331.09	2.69381	12.4068
2019-10-11.16:25:27	92.0637	2337.29	1.49655	12.2313
2019-10-11.16:25:28	92.2237	2343.33	-0.990697	12.053
2019-10-11.16:25:29	92.4146	2349.29	-2.36961	12.119
2019-10-11.16:25:30	92.5469	2355.29	-1.2868	12.0671
2019-10-11.16:25:31	92.7505	2361.32	1.2138	11.917
2019-10-11.16:25:32	92.8588	2367.27	2.70637	12.0661
2019-10-11.16:25:33	92.8894	2373.26	1.74547	12.1325
2019-10-11.16:25:34	92.9569	2379.46	-0.746736	12.1708
2019-10-11.16:25:35	92.9747	2385.9	-2.34087	12.4267
2019-10-11.16:25:36	92.8412	2392.62	-1.46947	12.5514
2019-10-11.16:25:37	92.743	2399.5	1.01093	12.4541
2019-10-11.16:25:38	92.5763	2406.28	2.68798	12.5662
2019-10-11.16:25:39	92.3844	2412.93	1.94115	12.5379
2019-10-11.16:25:40	92.3166	2419.5	-0.526037	12.3864
2019-10-11.16:25:41	92.3382	2425.98	-2.34221	12.4158
2019-10-11.16:25:42	92.31	2432.4	-1.73402	12.3658
2019-10-11.16:25:43	92.4053	2438.71	0.716835	12.0775
2019-10-11.16:25:44	92.5134	2444.75	2.65144	12.0514
2019-10-11.16:25:45	92.5999	2450.56	2.20337	12.0152
2019-10-11.16:25:46	92.7686	2456.35	-0.210066	11.9028
2019-10-11.16:25:47	92.9843	2462.25	-2.25973	12.0338
