DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-14.14:42:11	77.6975	1841.96	-7.58108	14.9145
2019-10-14.14:42:12	77.1367	1844.96	-3.02617	14.2084
2019-10-14.14:42:13	76.995	1848.07	1.31526	13.0395
2019-10-14.14:42:14	77.0128	1850.37	4.51261	13.0832
2019-10-14.14:42:15	77.1908	1851.69	8.37202	13.2041
2019-10-14.14:42:16	77.5411	1852.3	6.21116	13.4361
2019-10-14.14:42:17	77.8431	1853.66	-0.975073	12.9241
2019-10-14.14:42:18	77.7197	1855.95	-6.97114	14.6653
2019-10-14.14:42:19	77.0669	1858.97	-6.42067	15.1556
2019-10-14.14:42:20	76.6562	1862.22	-1.16995	13.3777
2019-10-14.14:42:21	76.7975	1864.72	2.42409	12.6335
2019-10-14.14:42:22	77.0771	1866.09	5.66225	12.6608
2019-10-14.14:42:23	77.4821	1866.6	10.0822	13.5182
2019-10-14.14:42:24	77.7713	1867.32	3.42279	13.1108
2019-10-14.14:42:25	77.9276	1869.2	-3.07741	13.6552
2019-10-14.14:42:26	77.4542	1872.05	-8.56452	15.2017
2019-10-14.14:42:27	76.7959	1875.29	-4.36657	14.5074
2019-10-14.14:42:28	76.6526	1878.32	0.329517	12.9436
2019-10-14.14:42:29	76.8567	1880.38	3.5677	12.5977
2019-10-14.14:42:30	77.2093	1881.32	7.12368	12.9038
2019-10-14.14:42:31	77.6118	1881.69	8.38068	13.6487
2019-10-14.14:42:32	77.8702	1882.8	0.828893	12.971
2019-10-14.14:42:33	77.8241	1885.06	-5.26373	14.3626
2019-10-14.14:42:34	77.2101	1888.11	-7.46462	15.2852
2019-10-14.14:42:35	76.6723	1891.34	-2.38325	13.8088
2019-10-14.14:42:36	76.7367	1894.07	1.59555	12.6875
2019-10-14.14:42:37	76.988	1895.69	4.73796	12.5905
2019-10-14.14:42:38	77.3886	1896.3	8.8129	13.2515
2019-10-14.14:42:39	77.7361	1896.77	5.43243	13.3571
2019-10-14.14:42:40	77.9742	1898.32	-1.4998	13.2299
2019-10-14.14:42:41	77.6593	1900.94	-7.47896	14.9037
2019-10-14.14:42:42	76.9942	1904.1	-5.94258	14.9277
2019-10-14.14:42:43	76.6724	1907.24	-0.70929	13.2203
2019-10-14.14:42:44	76.8478	1909.58	2.75249	12.5931
2019-10-14.14:42:45	77.1561	1910.79	6.05495	12.6835
2019-10-14.14:42:46	77.5764	1911.19	9.99513	13.557
2019-10-14.14:42:47	77.8614	1911.98	2.62631	12.9986
2019-10-14.14:42:48	77.9765	1913.94	-3.72747	13.8368
2019-10-14.14:42:49	77.4581	1916.84	-8.24339	15.2375
2019-10-14.14:42:50	76.8292	1920.06	-3.76126	14.2658
2019-10-14.14:42:51	76.7601	1922.99	0.718553	12.8121
2019-10-14.14:42:52	76.9788	1924.9	3.90803	12.5671
2019-10-14.14:42:53	77.3476	1925.73	7.60477	12.9677
2019-10-14.14:42:54	77.7386	1926.09	7.48078	13.5611
2019-10-14.14:42:55	77.9978	1927.32	0.0856057	12.9725
2019-10-14.14:42:56	77.8712	1929.67	-5.94139	14.5174
2019-10-14.14:42:57	77.2337	1932.75	-7.19924	15.1766
2019-10-14.14:42:58	76.756	1935.96	-1.83099	13.5695
2019-10-14.14:42:59	76.8672	1938.56	1.97406	12.6094
2019-10-14.14:43:00	77.1349	1940.04	5.15056	12.5689
2019-10-14.14:43:01	77.5445	1940.57	9.42869	13.3267
2019-10-14.14:43:02	77.8701	1941.11	4.46654	13.1862
2019-10-14.14:43:03	78.082	1942.79	-2.25848	13.3619
2019-10-14.14:43:04	77.6914	1945.5	-8.25559	15.0017
2019-10-14.14:43:05	77.0285	1948.67	-5.19751	14.6878
2019-10-14.14:43:06	76.797	1951.75	-0.20418	13.0237
2019-10-14.14:43:07	76.9888	1953.94	3.15046	12.5454
2019-10-14.14:43:08	77.3178	1955	6.57185	12.7292
2019-10-14.14:43:09	77.7338	1955.37	9.32513	13.5801
2019-10-14.14:43:10	78.0033	1956.29	1.70157	12.9055
2019-10-14.14:43:11	78.0466	1958.38	-4.50756	14.0517
2019-10-14.14:43:12	77.4766	1961.35	-7.71729	15.2367
2019-10-14.14:43:13	76.889	1964.57	-3.04772	13.9721
2019-10-14.14:43:14	76.895	1967.38	1.18301	12.6816
2019-10-14.14:43:15	77.1295	1969.13	4.34845	12.529
2019-10-14.14:43:16	77.5152	1969.83	8.2424	13.0652
2019-10-14.14:43:17	77.883	1970.22	6.35496	13.4127
2019-10-14.14:43:18	78.1368	1971.62	-0.800118	13.0331
2019-10-14.14:43:19	77.9062	1974.1	-6.78494	14.6868
2019-10-14.14:43:20	77.2497	1977.21	-6.57396	15.0019
2019-10-14.14:43:21	76.8549	1980.38	-1.1983	13.3084
2019-10-14.14:43:22	77.0085	1982.82	2.42126	12.5394
2019-10-14.14:43:23	77.2975	1984.14	5.66921	12.571
2019-10-14.14:43:24	77.7139	1984.58	10.0796	13.4141
2019-10-14.14:43:25	78.0137	1985.24	3.36683	13.0067
2019-10-14.14:43:26	78.1767	1987.07	-3.13335	13.5707
2019-10-14.14:43:27	77.7079	1989.89	-8.57276	15.0987
2019-10-14.14:43:28	77.0603	1993.07	-4.34653	14.384
2019-10-14.14:43:29	76.9299	1996.06	0.358738	12.828
2019-10-14.14:43:30	77.1377	1998.07	3.61831	12.5035
2019-10-14.14:43:31	77.49	1998.98	7.2079	12.8154
2019-10-14.14:43:32	77.8914	1999.32	8.1885	13.5381
2019-10-14.14:43:33	78.1518	2000.42	0.649655	12.8688
2019-10-14.14:43:34	78.0935	2002.67	-5.43312	14.2991
2019-10-14.14:43:35	77.4763	2005.69	-7.42498	15.1613
2019-10-14.14:43:36	76.9549	2008.9	-2.25393	13.6487
2019-10-14.14:43:37	77.0331	2011.57	1.71088	12.5724
2019-10-14.14:43:38	77.2868	2013.13	4.88788	12.501
2019-10-14.14:43:39	77.6863	2013.71	9.03834	13.1944
2019-10-14.14:43:40	78.0221	2014.18	5.03592	13.2089
2019-10-14.14:43:41	78.2512	2015.76	-1.82698	13.1879
2019-10-14.14:43:42	77.9079	2018.39	-7.81754	14.8637
2019-10-14.14:43:43	77.2421	2021.54	-5.61266	14.7416
2019-10-14.14:43:44	76.9582	2024.64	-0.490432	13.0512
2019-10-14.14:43:45	77.141	2026.9	2.9512	12.4929
2019-10-14.14:43:46	77.4557	2028.02	6.32546	12.6329
2019-10-14.14:43:47	77.8701	2028.39	9.68992	13.5069
2019-10-14.14:43:48	78.1423	2029.24	2.11386	12.8708
2019-10-14.14:43:49	78.2215	2031.24	-4.16624	13.8755
2019-10-14.14:43:50	77.6744	2034.16	-7.89824	15.1752
2019-10-14.14:43:51	77.0655	2037.36	-3.37149	14.0293
2019-10-14.14:43:52	77.0387	2040.21	0.990106	12.6665
2019-10-14.14:43:53	77.2645	2042.02	4.18426	12.4819
2019-10-14.14:43:54	77.6398	2042.75	8.00716	12.9691
2019-10-14.14:43:55	78.0119	2043.12	6.75312	13.415
2019-10-14.14:43:56	78.2666	2044.43	-0.501575	12.942
2019-10-14.14:43:57	78.0734	2046.85	-6.49943	14.5703
2019-10-14.14:43:58	77.4212	2049.93	-6.81663	15.0082
2019-10-14.14:43:59	76.9956	2053.1	-1.41251	13.3355
2019-10-14.14:44:00	77.1352	2055.58	2.28632	12.5049
2019-10-14.14:44:01	77.4146	2056.93	5.52263	12.518
2019-10-14.14:44:02	77.8252	2057.38	9.95085	13.3438
2019-10-14.14:44:03	78.1279	2057.99	3.64801	13.004
2019-10-14.14:44:04	78.3052	2059.76	-2.9164	13.4566
2019-10-14.14:44:05	77.8565	2062.53	-8.58807	15.0308
2019-10-14.14:44:06	77.2019	2065.69	-4.57103	14.4141
2019-10-14.14:44:07	77.0454	2068.68	0.220045	12.8276
2019-10-14.14:44:08	77.2477	2070.72	3.51604	12.4694
2019-10-14.14:44:09	77.5916	2071.65	7.07213	12.7561
2019-10-14.14:44:10	77.9926	2071.97	8.44114	13.5179
2019-10-14.14:44:11	78.2513	2073.02	0.858067	12.8296
2019-10-14.14:44:12	78.2155	2075.21	-5.24947	14.2077
2019-10-14.14:44:13	77.6061	2078.21	-7.48303	15.1443
2019-10-14.14:44:14	77.0693	2081.4	-2.41228	13.6705
2019-10-14.14:44:15	77.1342	2084.07	1.61667	12.5517
2019-10-14.14:44:16	77.383	2085.65	4.79891	12.4695
2019-10-14.14:44:17	77.7782	2086.23	8.90542	13.1394
2019-10-14.14:44:18	78.117	2086.67	5.23895	13.2094
2019-10-14.14:44:19	78.3508	2088.19	-1.67498	13.1206
2019-10-14.14:44:20	78.0253	2090.78	-7.66038	14.8035
2019-10-14.14:44:21	77.3601	2093.89	-5.76343	14.7488
2019-10-14.14:44:22	77.0587	2096.98	-0.596214	13.0508
2019-10-14.14:44:23	77.2384	2099.24	2.88096	12.4642
2019-10-14.14:44:24	77.5482	2100.37	6.24143	12.5904
2019-10-14.14:44:25	77.9618	2100.73	9.80361	13.4677
2019-10-14.14:44:26	78.2357	2101.53	2.26564	12.8505
2019-10-14.14:44:27	78.3273	2103.49	-4.04126	13.801
2019-10-14.14:44:28	77.7898	2106.37	-7.99183	15.1381
2019-10-14.14:44:29	77.1751	2109.54	-3.49542	14.0379
2019-10-14.14:44:30	77.1372	2112.39	0.917506	12.6489
2019-10-14.14:44:31	77.3604	2114.19	4.12541	12.4538
2019-10-14.14:44:32	77.7318	2114.93	7.92474	12.9217
2019-10-14.14:44:33	78.1058	2115.26	6.89054	13.4014
2019-10-14.14:44:34	78.3611	2116.54	-0.399427	12.8979
2019-10-14.14:44:35	78.1818	2118.91	-6.40288	14.5144
2019-10-14.14:44:36	77.5327	2121.96	-6.89802	14.9933
2019-10-14.14:44:37	77.0983	2125.11	-1.48813	13.3282
2019-10-14.14:44:38	77.2339	2127.58	2.24324	12.4775
2019-10-14.14:44:39	77.5103	2128.93	5.47962	12.4868
2019-10-14.14:44:40	77.919	2129.37	9.90015	13.3046
2019-10-14.14:44:41	78.2229	2129.94	3.73566	12.9866
2019-10-14.14:44:42	78.405	2131.68	-2.85004	13.4038
2019-10-14.14:44:43	77.9635	2134.41	-8.59131	14.9903
2019-10-14.14:44:44	77.3083	2137.55	-4.64269	14.4036
2019-10-14.14:44:45	77.145	2140.52	0.181039	12.8069
2019-10-14.14:44:46	77.3463	2142.55	3.49297	12.4414
2019-10-14.14:44:47	77.6874	2143.47	7.04292	12.721
2019-10-14.14:44:48	78.0883	2143.77	8.49616	13.4917
2019-10-14.14:44:49	78.3468	2144.79	0.901071	12.7984
