DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-14.09:37:01	77.8375	1841.2	-7.71383	14.5913
2019-10-14.09:37:02	77.2894	1844	-4.72381	14.6657
2019-10-14.09:37:03	76.9949	1847.2	0.211253	13.2272
2019-10-14.09:37:04	77.0018	1849.78	3.56392	13.0344
2019-10-14.09:37:05	77.1068	1851.39	7.05306	13.1467
2019-10-14.09:37:06	77.4516	1852.11	8.63588	13.5775
2019-10-14.09:37:07	77.7452	1853.15	0.976651	12.8283
2019-10-14.09:37:08	77.8355	1855.17	-5.17378	14.0402
2019-10-14.09:37:09	77.2817	1858	-7.53277	15.4123
2019-10-14.09:37:10	76.7042	1861.28	-2.58364	13.8674
2019-10-14.09:37:11	76.7404	1864.09	1.46861	12.7203
2019-10-14.09:37:12	76.9742	1865.8	4.61731	12.6011
2019-10-14.09:37:13	77.359	1866.49	8.6375	13.242
2019-10-14.09:37:14	77.7004	1866.98	5.73058	13.4193
2019-10-14.09:37:15	77.9357	1868.52	-1.27027	13.1998
2019-10-14.09:37:16	77.6424	1871.13	-7.24891	14.8813
2019-10-14.09:37:17	76.971	1874.3	-6.12022	15.0003
2019-10-14.09:37:18	76.6184	1877.49	-0.855796	13.2945
2019-10-14.09:37:19	76.784	1879.89	2.64658	12.6159
2019-10-14.09:37:20	77.0866	1881.14	5.92192	12.6846
2019-10-14.09:37:21	77.5042	1881.58	10.0974	13.5606
2019-10-14.09:37:22	77.7912	1882.34	2.90553	13.049
2019-10-14.09:37:23	77.9222	1884.27	-3.4971	13.7874
2019-10-14.09:37:24	77.4189	1887.16	-8.41358	15.2411
2019-10-14.09:37:25	76.7787	1890.38	-3.98227	14.3695
2019-10-14.09:37:26	76.6836	1893.35	0.5724	12.871
2019-10-14.09:37:27	76.8973	1895.32	3.77173	12.5903
2019-10-14.09:37:28	77.2606	1896.19	7.41021	12.9528
2019-10-14.09:37:29	77.6576	1896.55	7.85213	13.6113
2019-10-14.09:37:30	77.9168	1897.74	0.3916	12.9788
2019-10-14.09:37:31	77.823	1900.05	-5.6569	14.4683
2019-10-14.09:37:32	77.1941	1903.12	-7.33496	15.2383
2019-10-14.09:37:33	76.6906	1906.35	-2.05206	13.6773
2019-10-14.09:37:34	76.7836	1909	1.81636	12.6507
2019-10-14.09:37:35	77.0443	1910.54	4.97149	12.5863
2019-10-14.09:37:36	77.4506	1911.1	9.16176	13.3049
2019-10-14.09:37:37	77.786	1911.61	4.86691	13.267
2019-10-14.09:37:38	78.0106	1913.24	-1.94215	13.3122
2019-10-14.09:37:39	77.6506	1915.92	-7.93549	14.9734
2019-10-14.09:37:40	76.9855	1919.08	-5.50466	14.8025
2019-10-14.09:37:41	76.7157	1922.2	-0.413812	13.1143
2019-10-14.09:37:42	76.9015	1924.45	2.9798	12.5743
2019-10-14.09:37:43	77.2221	1925.57	6.34547	12.7158
2019-10-14.09:37:44	77.6411	1925.96	9.66618	13.5856
2019-10-14.09:37:45	77.9166	1926.82	2.09939	12.9492
2019-10-14.09:37:46	77.9925	1928.86	-4.16763	13.9686
2019-10-14.09:37:47	77.4435	1931.8	-7.91212	15.2546
2019-10-14.09:37:48	76.8357	1935.02	-3.35132	14.1092
2019-10-14.09:37:49	76.8101	1937.89	0.982664	12.7448
2019-10-14.09:37:50	77.0377	1939.71	4.15191	12.5542
2019-10-14.09:37:51	77.4166	1940.47	7.95483	13.0302
2019-10-14.09:37:52	77.7953	1940.84	6.85317	13.4928
2019-10-14.09:37:53	78.0529	1942.17	-0.410749	13.0085
2019-10-14.09:37:54	77.8674	1944.6	-6.4087	14.6247
2019-10-14.09:37:55	77.2177	1947.7	-6.88432	15.0955
2019-10-14.09:37:56	76.7843	1950.89	-1.47315	13.4307
2019-10-14.09:37:57	76.9207	1953.4	2.22233	12.5774
2019-10-14.09:37:58	77.2002	1954.79	5.43186	12.5745
2019-10-14.09:37:59	77.6143	1955.27	9.8412	13.3849
2019-10-14.09:38:00	77.9256	1955.88	3.8603	13.0926
2019-10-14.09:38:01	78.113	1957.64	-2.73699	13.4797
2019-10-14.09:38:02	77.6777	1960.42	-8.574	15.0671
2019-10-14.09:38:03	77.021	1963.6	-4.73048	14.5344
2019-10-14.09:38:04	76.8455	1966.63	0.10554	12.9218
2019-10-14.09:38:05	77.046	1968.73	3.40096	12.53
2019-10-14.09:38:06	77.3881	1969.71	6.90756	12.7804
2019-10-14.09:38:07	77.7976	1970.05	8.7514	13.5766
