DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-11.15:42:23	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-11.15:42:24	0.0731498	1654.75	-0.0268963	0.453951
2019-10-11.15:42:25	0.0572793	1654.78	-0.0383173	-0.11395
2019-10-11.15:42:26	1.63126	1654.79	-0.105679	-0.0721873
2019-10-11.15:42:27	5.00611	1654.79	-0.171809	0.152836
2019-10-11.15:42:28	8.86449	1654.79	-0.190993	0.247557
2019-10-11.15:42:29	12.7787	1654.79	-0.247276	0.296688
2019-10-11.15:42:30	16.614	1654.79	-0.44451	0.341623
2019-10-11.15:42:31	20.3879	1654.79	-0.829593	0.478771
2019-10-11.15:42:32	24.1016	1654.79	-1.2087	0.572093
2019-10-11.15:42:33	27.7403	1654.8	-1.52069	0.619471
2019-10-11.15:42:34	31.3096	1654.8	-1.71928	0.635074
2019-10-11.15:42:35	34.7754	1654.8	-1.88278	0.669183
2019-10-11.15:42:36	38.1083	1654.8	-2.02663	0.708235
2019-10-11.15:42:37	41.3168	1654.81	-2.12244	0.744098
2019-10-11.15:42:38	44.4241	1654.81	-2.16479	0.781836
2019-10-11.15:42:39	47.46	1654.81	-2.1614	0.829863
2019-10-11.15:42:40	50.4546	1654.82	-2.1002	0.889032
2019-10-11.15:42:41	53.4319	1654.82	-1.99578	0.951455
2019-10-11.15:42:42	56.4083	1654.83	-1.86274	1.01302
2019-10-11.15:42:43	59.3954	1654.83	-1.70814	1.07487
2019-10-11.15:42:44	62.4014	1654.84	-1.53601	1.13781
2019-10-11.15:42:45	65.4322	1654.84	-1.34885	1.20215
2019-10-11.15:42:46	68.4923	1654.85	-1.14847	1.26782
2019-10-11.15:42:47	71.585	1654.85	-0.936364	1.33466
2019-10-11.15:42:48	74.7123	1654.86	-0.7139	1.40245
2019-10-11.15:42:49	77.8752	1654.87	-0.482395	1.47092
[State]	TakeOff
2019-10-11.15:42:50	81.0736	1654.88	-0.24324	1.53978
2019-10-11.15:42:51	84.3327	1654.89	-0.150259	1.6004
2019-10-11.15:42:52	87.6683	1654.9	-0.0524857	2.36967
2019-10-11.15:42:53	90.7772	1655.18	0.0481568	9.85631
2019-10-11.15:42:54	91.0846	1660.73	4.28139	12.4797
2019-10-11.15:42:55	90.2022	1669.07	10.3757	11.5311
2019-10-11.15:42:56	89.3623	1675.76	17.0638	11.8879
2019-10-11.15:42:57	88.5301	1681.1	24.7095	12.8117
2019-10-11.15:42:58	87.8371	1685.28	30.3112	12.993
2019-10-11.15:42:59	87.3024	1688.37	30.3651	12.4517
2019-10-11.15:43:00	86.9707	1691.06	30.3764	11.6505
2019-10-11.15:43:01	86.7605	1693.47	30.3659	11.4474
2019-10-11.15:43:02	86.5835	1695.75	30.3526	11.7469
2019-10-11.15:43:03	86.3857	1697.95	30.3453	12.2191
2019-10-11.15:43:04	86.1663	1700.09	30.3465	12.4943
2019-10-11.15:43:05	85.9575	1702.15	30.3517	12.4673
2019-10-11.15:43:06	85.787	1704.13	30.355	12.2629
2019-10-11.15:43:07	85.6605	1706.01	30.3541	12.0839
2019-10-11.15:43:08	85.5625	1707.81	30.3501	12.0487
2019-10-11.15:43:09	85.449	1709.58	26.9426	12.1821
2019-10-11.15:43:10	85.0159	1712.35	20.3985	12.7233
2019-10-11.15:43:11	84.0225	1717.26	13.9	12.9344
2019-10-11.15:43:12	82.8778	1723.29	7.06598	12.839
2019-10-11.15:43:13	81.6875	1729.39	-0.338681	13.3859
2019-10-11.15:43:14	80.6077	1735.19	-1.07144	13.2805
2019-10-11.15:43:15	80.0103	1740.19	2.418	12.2659
2019-10-11.15:43:16	79.8959	1743.7	5.07994	12.0576
2019-10-11.15:43:17	79.8065	1746.35	4.69136	12.6302
