DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-11.16:59:24	86.8501	1988.92	0.0457214	11.7005
2019-10-11.16:59:25	86.8583	1993.9	0.0455778	11.7002
2019-10-11.16:59:26	86.8655	1998.88	0.0454345	11.7002
2019-10-11.16:59:27	86.8717	2003.86	0.0452913	11.7001
2019-10-11.16:59:28	86.8772	2008.84	0.0451479	11.6995
2019-10-11.16:59:29	86.8824	2013.82	0.0450047	11.6983
2019-10-11.16:59:30	86.8877	2018.8	0.0448619	11.6962
2019-10-11.16:59:31	86.8935	2023.78	0.0447201	11.6934
2019-10-11.16:59:32	86.9001	2028.75	0.0445794	11.6901
2019-10-11.16:59:33	86.9077	2033.72	0.0444398	11.6865
2019-10-11.16:59:34	86.9161	2038.69	0.0443011	11.683
2019-10-11.16:59:35	86.9252	2043.65	0.0441631	11.6799
2019-10-11.16:59:36	86.9347	2048.6	0.0440256	11.6774
2019-10-11.16:59:37	86.9441	2053.56	0.0438884	11.6757
2019-10-11.16:59:38	86.9531	2058.51	0.0437514	11.6747
2019-10-11.16:59:39	86.9613	2063.47	0.0436145	11.6742
2019-10-11.16:59:40	86.9687	2068.42	0.0434775	11.674
2019-10-11.16:59:41	86.9752	2073.38	0.0433405	11.6738
2019-10-11.16:59:42	86.9809	2078.34	0.0432036	11.6732
2019-10-11.16:59:43	86.9864	2083.29	0.043067	11.672
2019-10-11.16:59:44	86.9918	2088.25	0.042931	11.6701
2019-10-11.16:59:45	86.9976	2093.2	0.0427957	11.6676
2019-10-11.16:59:46	87.0041	2098.14	0.0426612	11.6645
2019-10-11.16:59:47	87.0114	2103.09	0.0425277	11.6611
2019-10-11.16:59:48	87.0196	2108.03	0.0423951	11.6578
2019-10-11.16:59:49	87.0284	2112.96	0.0422632	11.6547
2019-10-11.16:59:50	87.0376	2117.9	0.0421319	11.6522
2019-10-11.16:59:51	87.0468	2122.83	0.0420009	11.6503
2019-10-11.16:59:52	87.0557	2127.76	0.0418702	11.6491
2019-10-11.16:59:53	87.064	2132.69	0.0417395	11.6484
2019-10-11.16:59:54	87.0715	2137.62	0.0416088	11.648
2019-10-11.16:59:55	87.0782	2142.55	0.0414781	11.6477
2019-10-11.16:59:56	87.0842	2147.48	0.0413475	11.647
2019-10-11.16:59:57	87.0898	2152.41	0.0412172	11.6459
2019-10-11.16:59:58	87.0954	2157.34	0.0410874	11.6442
2019-10-11.16:59:59	87.1013	2162.26	0.0409582	11.6419
2019-10-11.17:00:00	87.1077	2167.18	0.0408298	11.639
2019-10-11.17:00:01	87.1148	2172.1	0.0407022	11.6359
2019-10-11.17:00:02	87.1227	2177.02	0.0405754	11.6327
2019-10-11.17:00:03	87.1312	2181.93	0.0404494	11.6297
2019-10-11.17:00:04	87.1401	2186.84	0.0403239	11.6271
2019-10-11.17:00:05	87.1491	2191.74	0.0401989	11.6251
2019-10-11.17:00:06	87.1579	2196.65	0.0400741	11.6237
2019-10-11.17:00:07	87.1662	2201.55	0.0399493	11.6228
2019-10-11.17:00:08	87.1738	2206.46	0.0398246	11.6223
2019-10-11.17:00:09	87.1807	2211.36	0.0397	11.6218
2019-10-11.17:00:10	87.187	2216.27	0.0395754	11.6211
2019-10-11.17:00:11	87.1928	2221.17	0.0394511	11.62
2019-10-11.17:00:12	87.1986	2226.07	0.0393271	11.6185
2019-10-11.17:00:13	87.2045	2230.97	0.0392038	11.6163
