DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-11.15:15:27	77.9289	1840.51	-7.35094	14.048
2019-10-11.15:15:28	77.467	1843.08	-6.27354	14.9348
2019-10-11.15:15:29	77.0137	1846.27	-1.04609	13.5693
2019-10-11.15:15:30	76.9977	1849.11	2.62983	12.9938
2019-10-11.15:15:31	77.0509	1851.01	5.88654	13.1279
2019-10-11.15:15:32	77.3393	1851.95	10.1378	13.4297
2019-10-11.15:15:33	77.6511	1852.72	3.09359	13.0018
2019-10-11.15:15:34	77.886	1854.47	-3.40448	13.4504
2019-10-11.15:15:35	77.4924	1857.09	-8.33574	15.2995
2019-10-11.15:15:36	76.8231	1860.3	-4.19636	14.4492
2019-10-11.15:15:37	76.6923	1863.35	0.429338	12.9156
2019-10-11.15:15:38	76.8889	1865.41	3.65679	12.6041
2019-10-11.15:15:39	77.235	1866.35	7.25548	12.9427
2019-10-11.15:15:40	77.6235	1866.76	8.15069	13.6507
2019-10-11.15:15:41	77.8735	1867.94	0.637056	12.9838
2019-10-11.15:15:42	77.8025	1870.24	-5.43602	14.4198
2019-10-11.15:15:43	77.1755	1873.32	-7.39491	15.2826
2019-10-11.15:15:44	76.6474	1876.58	-2.22199	13.7644
2019-10-11.15:15:45	76.7214	1879.28	1.70521	12.6849
2019-10-11.15:15:46	76.9765	1880.88	4.85322	12.5979
2019-10-11.15:15:47	77.3788	1881.48	8.97995	13.2993
2019-10-11.15:15:48	77.7173	1881.98	5.17026	13.3346
2019-10-11.15:15:49	77.9472	1883.58	-1.70518	13.2844
2019-10-11.15:15:50	77.6097	1886.23	-7.68939	14.956
2019-10-11.15:15:51	76.9421	1889.4	-5.73989	14.8925
2019-10-11.15:15:52	76.6418	1892.55	-0.576973	13.1917
2019-10-11.15:15:53	76.8216	1894.85	2.84845	12.6014
2019-10-11.15:15:54	77.1358	1896.03	6.17377	12.7131
2019-10-11.15:15:55	77.5558	1896.43	9.8926	13.5896
2019-10-11.15:15:56	77.8363	1897.25	2.42897	12.9961
2019-10-11.15:15:57	77.9355	1899.25	-3.88725	13.9072
2019-10-11.15:15:58	77.4039	1902.17	-8.14226	15.265
2019-10-11.15:15:59	76.7816	1905.4	-3.60471	14.2285
2019-10-11.15:16:00	76.7282	1908.31	0.814406	12.805
2019-10-11.15:16:01	76.9498	1910.2	3.98813	12.5797
2019-10-11.15:16:02	77.3225	1911	7.7181	13.0062
2019-10-11.15:16:03	77.7099	1911.37	7.27208	13.5569
2019-10-11.15:16:04	77.9689	1912.63	-0.0774117	13.0008
2019-10-11.15:16:05	77.822	1915.02	-6.09209	14.5723
2019-10-11.15:16:06	77.1797	1918.11	-7.10925	15.1712
2019-10-11.15:16:07	76.7155	1921.32	-1.71213	13.5424
2019-10-11.15:16:08	76.835	1923.89	2.05017	12.6164
2019-10-11.15:16:09	77.1066	1925.35	5.2308	12.5858
2019-10-11.15:16:10	77.5182	1925.86	9.54909	13.3612
2019-10-11.15:16:11	77.84	1926.43	4.29305	13.1753
2019-10-11.15:16:12	78.0452	1928.13	-2.39223	13.4122
2019-10-11.15:16:13	77.6408	1930.87	-8.37309	15.0383
2019-10-11.15:16:14	76.9789	1934.05	-5.06442	14.6641
2019-10-11.15:16:15	76.7629	1937.12	-0.11675	13.0122
2019-10-11.15:16:16	76.9569	1939.29	3.21476	12.5577
2019-10-11.15:16:17	77.2899	1940.33	6.65415	12.7577
2019-10-11.15:16:18	77.7049	1940.69	9.18865	13.5976
2019-10-11.15:16:19	77.9729	1941.65	1.56319	12.9152
2019-10-11.15:16:20	78.0034	1943.76	-4.62501	14.1047
2019-10-11.15:16:21	77.4259	1946.74	-7.66363	15.251
2019-10-11.15:16:22	76.8454	1949.96	-2.93961	13.9489
2019-10-11.15:16:23	76.8614	1952.76	1.24957	12.6844
2019-10-11.15:16:24	77.0985	1954.49	4.40855	12.5416
2019-10-11.15:16:25	77.4868	1955.18	8.32875	13.097
2019-10-11.15:16:26	77.8517	1955.58	6.20683	13.4078
2019-10-11.15:16:27	78.1038	1957	-0.913313	13.0643
2019-10-11.15:16:28	77.8597	1959.51	-6.89512	14.7255
2019-10-11.15:16:29	77.2013	1962.63	-6.47371	14.9946
2019-10-11.15:16:30	76.8175	1965.79	-1.11813	13.2963
2019-10-11.15:16:31	76.9752	1968.22	2.47476	12.5502
2019-10-11.15:16:32	77.2674	1969.52	5.72936	12.5901
2019-10-11.15:16:33	77.6848	1969.95	10.1078	13.4404
2019-10-11.15:16:34	77.9821	1970.64	3.25291	13.0069
2019-10-11.15:16:35	78.1383	1972.49	-3.2232	13.614
2019-10-11.15:16:36	77.6614	1975.32	-8.54364	15.1246
