DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-14.14:22:53	0.474726	1654.61	-0.0010306	0.0033878
[State]	Taxiing
2019-10-14.14:22:54	0.105824	1654.74	-0.0218118	0.477614
2019-10-14.14:22:55	0.0580021	1654.78	-0.0360724	-0.0208364
2019-10-14.14:22:56	1.11722	1654.79	-0.0772162	-0.115218
2019-10-14.14:22:57	4.26532	1654.79	-0.162729	0.117435
2019-10-14.14:22:58	8.08221	1654.79	-0.185233	0.233924
2019-10-14.14:22:59	11.9985	1654.79	-0.224724	0.285652
2019-10-14.14:23:00	15.8516	1654.79	-0.39437	0.327351
2019-10-14.14:23:01	19.6371	1654.79	-0.757514	0.459768
2019-10-14.14:23:02	23.3644	1654.79	-1.13617	0.556587
2019-10-14.14:23:03	27.0184	1654.8	-1.46735	0.613958
2019-10-14.14:23:04	30.6012	1654.8	-1.69592	0.635962
2019-10-14.14:23:05	34.0928	1654.8	-1.8524	0.662234
2019-10-14.14:23:06	37.4522	1654.8	-2.00145	0.700867
2019-10-14.14:23:07	40.6841	1654.81	-2.10789	0.737184
2019-10-14.14:23:08	43.8093	1654.81	-2.15973	0.773278
2019-10-14.14:23:09	46.857	1654.81	-2.16602	0.819796
2019-10-14.14:23:10	49.8577	1654.82	-2.1169	0.876086
2019-10-14.14:23:11	52.837	1654.82	-2.01925	0.939072
2019-10-14.14:23:12	55.8125	1654.82	-1.89124	1.00072
2019-10-14.14:23:13	58.7967	1654.83	-1.74056	1.06243
2019-10-14.14:23:14	61.7984	1654.83	-1.5717	1.12511
2019-10-14.14:23:15	64.8238	1654.84	-1.38739	1.18917
2019-10-14.14:23:16	67.8778	1654.85	-1.18952	1.25458
2019-10-14.14:23:17	70.9638	1654.85	-0.979655	1.32121
2019-10-14.14:23:18	74.0841	1654.86	-0.759158	1.38883
2019-10-14.14:23:19	77.2398	1654.87	-0.529355	1.45719
2019-10-14.14:23:20	80.4311	1654.88	-0.291613	1.52599
2019-10-14.14:23:21	83.6738	1654.88	-0.162582	1.58698
2019-10-14.14:23:22	86.9981	1654.9	-0.0716218	2.04685
[State]	TakeOff
2019-10-14.14:23:23	90.2666	1655.03	0.0482835	7.54912
2019-10-14.14:23:24	91.2468	1659.05	3.09394	13.0302
2019-10-14.14:23:25	90.3809	1667.52	9.12141	11.4515
2019-10-14.14:23:26	89.5164	1674.56	15.6544	11.7111
2019-10-14.14:23:27	88.7006	1680.1	23.1082	12.7184
2019-10-14.14:23:28	87.9541	1684.58	30.9198	12.9309
2019-10-14.14:23:29	87.3954	1687.78	30.3937	12.6535
2019-10-14.14:23:30	87.023	1690.55	30.3784	11.7586
2019-10-14.14:23:31	86.7978	1693	30.3687	11.445
2019-10-14.14:23:32	86.6194	1695.3	30.355	11.6578
2019-10-14.14:23:33	86.4278	1697.51	30.346	12.1323
2019-10-14.14:23:34	86.2105	1699.67	30.3458	12.4639
2019-10-14.14:23:35	85.9968	1701.75	30.3507	12.4933
2019-10-14.14:23:36	85.8174	1703.74	30.3547	12.3078
2019-10-14.14:23:37	85.6828	1705.65	30.3546	12.11
2019-10-14.14:23:38	85.5809	1707.46	30.351	12.0433
2019-10-14.14:23:39	85.483	1709.2	28.2547	12.1444
2019-10-14.14:23:40	85.1484	1711.64	21.6881	12.5361
2019-10-14.14:23:41	84.2461	1716.11	15.2234	13.064
2019-10-14.14:23:42	83.1096	1722.07	8.46808	12.7447
2019-10-14.14:23:43	81.9253	1728.18	1.20075	13.3012
2019-10-14.14:23:44	80.8006	1734.07	-1.3186	13.4168
2019-10-14.14:23:45	80.0808	1739.29	1.70854	12.4737
2019-10-14.14:23:46	79.8994	1743.12	4.75723	11.917
2019-10-14.14:23:47	79.8348	1745.82	5.03453	12.623
2019-10-14.14:23:48	79.7082	1748.53	2.21256	12.3963
2019-10-14.14:23:49	79.6937	1751.46	-1.83185	12.3859
2019-10-14.14:23:50	79.5561	1754.58	-3.96051	12.8836
[State]	Climb
2019-10-14.14:23:51	79.2655	1757.89	-2.44274	12.9075
2019-10-14.14:23:52	79.1347	1761.22	1.61644	12.4311
2019-10-14.14:23:53	79.1106	1764.13	5.08373	12.4427
2019-10-14.14:23:54	79.1098	1766.44	5.14847	12.6517
2019-10-14.14:23:55	79.1192	1768.67	1.62614	12.4139
2019-10-14.14:23:56	79.2211	1771.21	-2.92781	12.5273
2019-10-14.14:23:57	79.0826	1774.07	-4.87585	13.2837
2019-10-14.14:23:58	78.7387	1777.3	-2.58231	13.2706
2019-10-14.14:23:59	78.5576	1780.65	2.21256	12.7887
2019-10-14.14:24:00	78.4478	1783.57	6.06983	12.9957
2019-10-14.14:24:01	78.3983	1785.8	5.73235	12.8812
2019-10-14.14:24:02	78.5167	1787.7	1.30419	12.3445
2019-10-14.14:24:03	78.7863	1789.79	-3.97528	12.4763
2019-10-14.14:24:04	78.7583	1792.16	-5.84771	13.3979
2019-10-14.14:24:05	78.5076	1794.94	-2.73805	13.2252
2019-10-14.14:24:06	78.4339	1797.95	2.22837	12.7056
2019-10-14.14:24:07	78.3647	1800.61	6.23409	13.0741
2019-10-14.14:24:08	78.3166	1802.63	6.93439	13.2479
2019-10-14.14:24:09	78.4074	1804.4	1.7048	12.4092
2019-10-14.14:24:10	78.6901	1806.41	-4.5513	12.5566
2019-10-14.14:24:11	78.628	1808.69	-6.83267	13.7269
2019-10-14.14:24:12	78.3163	1811.4	-3.31138	13.4304
2019-10-14.14:24:13	78.2412	1814.36	1.58307	12.6852
2019-10-14.14:24:14	78.2067	1816.91	5.28023	12.9713
2019-10-14.14:24:15	78.2061	1818.77	9.19554	13.3421
2019-10-14.14:24:16	78.2824	1820.26	3.46144	12.865
2019-10-14.14:24:17	78.4862	1822.26	-3.42484	12.7607
2019-10-14.14:24:18	78.3224	1824.74	-7.43736	14.3108
2019-10-14.14:24:19	77.7717	1827.75	-4.62711	14.3503
2019-10-14.14:24:20	77.437	1831.09	0.394588	13.3062
2019-10-14.14:24:21	77.3101	1834	3.88843	13.2458
2019-10-14.14:24:22	77.255	1836.03	7.50544	13.4434
2019-10-14.14:24:23	77.4723	1837.14	7.04193	13.4355
2019-10-14.14:24:24	77.784	1838.4	-0.616257	12.5575
2019-10-14.14:24:25	77.9476	1840.29	-6.76207	13.8504
2019-10-14.14:24:26	77.5271	1842.79	-6.67408	14.9723
2019-10-14.14:24:27	77.034	1845.94	-1.50656	13.7145
2019-10-14.14:24:28	76.9969	1848.86	2.3125	12.9898
2019-10-14.14:24:29	77.038	1850.87	5.52638	13.1193
2019-10-14.14:24:30	77.2994	1851.9	9.85743	13.3599
2019-10-14.14:24:31	77.6225	1852.6	3.8418	13.1054
2019-10-14.14:24:32	77.887	1854.25	-2.80936	13.2828
2019-10-14.14:24:33	77.5554	1856.79	-8.52052	15.1758
2019-10-14.14:24:34	76.8765	1859.97	-4.76467	14.646
2019-10-14.14:24:35	76.6785	1863.08	0.0558072	13.0102
2019-10-14.14:24:36	76.8641	1865.25	3.34723	12.6071
2019-10-14.14:24:37	77.1942	1866.3	6.83218	12.8534
2019-10-14.14:24:38	77.593	1866.71	8.91275	13.6667
2019-10-14.14:24:39	77.8472	1867.77	1.30433	12.9712
2019-10-14.14:24:40	77.8449	1869.97	-4.84477	14.2355
2019-10-14.14:24:41	77.2466	1873	-7.56161	15.3162
2019-10-14.14:24:42	76.6735	1876.26	-2.72352	13.9437
2019-10-14.14:24:43	76.7026	1879.06	1.37792	12.7283
2019-10-14.14:24:44	76.9436	1880.77	4.52023	12.5937
2019-10-14.14:24:45	77.3364	1881.45	8.48655	13.1996
2019-10-14.14:24:46	77.693	1881.89	5.9653	13.4412
2019-10-14.14:24:47	77.9385	1883.37	-1.09143	13.1632
2019-10-14.14:24:48	77.6693	1885.93	-7.06858	14.8323
2019-10-14.14:24:49	77.0055	1889.08	-6.3217	15.0315
2019-10-14.14:24:50	76.6368	1892.26	-0.99616	13.3265
2019-10-14.14:24:51	76.7989	1894.67	2.54144	12.6118
2019-10-14.14:24:52	77.0963	1895.96	5.79443	12.6601
2019-10-14.14:24:53	77.5154	1896.4	10.1234	13.5207
2019-10-14.14:24:54	77.8104	1897.11	3.14778	13.06
2019-10-14.14:24:55	77.9578	1899	-3.29807	13.7136
2019-10-14.14:24:56	77.4709	1901.86	-8.53596	15.2031
2019-10-14.14:24:57	76.8263	1905.07	-4.16933	14.418
2019-10-14.14:24:58	76.7119	1908.06	0.457126	12.8858
2019-10-14.14:24:59	76.9221	1910.06	3.67479	12.5806
2019-10-14.14:25:00	77.28	1910.95	7.27572	12.9106
2019-10-14.14:25:01	77.6813	1911.31	8.07664	13.6099
2019-10-14.14:25:02	77.9418	1912.45	0.571661	12.9546
2019-10-14.14:25:03	77.8705	1914.74	-5.49555	14.4056
2019-10-14.14:25:04	77.2488	1917.79	-7.39503	15.2386
2019-10-14.14:25:05	76.7322	1921.01	-2.18875	13.7107
2019-10-14.14:25:06	76.8148	1923.68	1.73094	12.6464
2019-10-14.14:25:07	77.0717	1925.25	4.88568	12.5713
2019-10-14.14:25:08	77.4757	1925.83	9.03293	13.2669
2019-10-14.14:25:09	77.8154	1926.32	5.06706	13.2822
2019-10-14.14:25:10	78.0458	1927.92	-1.78911	13.2621
2019-10-14.14:25:11	77.7026	1930.56	-7.77667	14.9312
2019-10-14.14:25:12	77.0376	1933.72	-5.65177	14.8274
2019-10-14.14:25:13	76.7499	1936.84	-0.515432	13.1317
2019-10-14.14:25:14	76.9329	1939.12	2.9075	12.5627
2019-10-14.14:25:15	77.2491	1940.27	6.25567	12.6879
2019-10-14.14:25:16	77.6684	1940.66	9.78488	13.5615
2019-10-14.14:25:17	77.9463	1941.49	2.25753	12.9453
2019-10-14.14:25:18	78.0352	1943.5	-4.03684	13.9099
2019-10-14.14:25:19	77.4956	1946.43	-8.00232	15.2336
2019-10-14.14:25:20	76.8814	1949.64	-3.47576	14.1374
2019-10-14.14:25:21	76.8435	1952.53	0.906544	12.7459
2019-10-14.14:25:22	77.0685	1954.37	4.08616	12.5416
2019-10-14.14:25:23	77.4441	1955.14	7.86145	12.9964
2019-10-14.14:25:24	77.8258	1955.51	7.01884	13.4964
2019-10-14.14:25:25	78.0841	1956.81	-0.283166	12.98
2019-10-14.14:25:26	77.9145	1959.21	-6.28831	14.5803
2019-10-14.14:25:27	77.2679	1962.3	-6.97702	15.1004
2019-10-14.14:25:28	76.8231	1965.5	-1.56612	13.4479
2019-10-14.14:25:29	76.9537	1968.03	2.16177	12.568
2019-10-14.14:25:30	77.23	1969.44	5.36653	12.5569
2019-10-14.14:25:31	77.6427	1969.93	9.75135	13.3557
2019-10-14.14:25:32	77.957	1970.51	3.99786	13.0973
2019-10-14.14:25:33	78.1507	1972.25	-2.62924	13.4346
2019-10-14.14:25:34	77.7255	1975.01	-8.53125	15.0362
2019-10-14.14:25:35	77.0675	1978.18	-4.83878	14.5525
2019-10-14.14:25:36	76.88	1981.22	0.0366657	12.9266
2019-10-14.14:25:37	77.0787	1983.34	3.34891	12.5173
2019-10-14.14:25:38	77.4175	1984.33	6.83999	12.7538
2019-10-14.14:25:39	77.8281	1984.68	8.86721	13.5637
2019-10-14.14:25:40	78.0927	1985.68	1.24828	12.8713
2019-10-14.14:25:41	78.0946	1987.83	-4.90098	14.1505
2019-10-14.14:25:42	77.5029	1990.82	-7.57427	15.2047
2019-10-14.14:25:43	76.942	1994.03	-2.70256	13.8198
2019-10-14.14:25:44	76.9817	1996.78	1.41239	12.6192
2019-10-14.14:25:45	77.2247	1998.45	4.57964	12.5048
2019-10-14.14:25:46	77.6174	1999.09	8.58296	13.1098
2019-10-14.14:25:47	77.9719	1999.51	5.76321	13.3141
2019-10-14.14:25:48	78.218	2000.98	-1.26335	13.0807
2019-10-14.14:25:49	77.9366	2003.53	-7.24392	14.7592
2019-10-14.14:25:50	77.2742	2006.66	-6.14511	14.8821
2019-10-14.14:25:51	76.9272	2009.8	-0.875991	13.1787
2019-10-14.14:25:52	77.096	2012.16	2.66191	12.5075
2019-10-14.14:25:53	77.3956	2013.39	5.96385	12.5854
2019-10-14.14:25:54	77.8114	2013.79	10.0591	13.4559
2019-10-14.14:25:55	78.0963	2014.54	2.77546	12.9265
2019-10-14.14:25:56	78.2237	2016.45	-3.61816	13.6997
2019-10-14.14:25:57	77.7166	2019.31	-8.28919	15.1398
2019-10-14.14:25:58	77.0826	2022.51	-3.88446	14.2116
2019-10-14.14:25:59	77.0017	2025.43	0.660391	12.7409
2019-10-14.14:26:00	77.2169	2027.35	3.88585	12.4873
2019-10-14.14:26:01	77.5796	2028.17	7.5817	12.8823
2019-10-14.14:26:02	77.9666	2028.52	7.51157	13.4887
2019-10-14.14:26:03	78.2233	2029.73	0.0941497	12.8876
2019-10-14.14:26:04	78.1015	2032.05	-5.94006	14.4297
2019-10-14.14:26:05	77.4643	2035.11	-7.20581	15.0962
2019-10-14.14:26:06	76.9853	2038.3	-1.84402	13.4906
2019-10-14.14:26:07	77.0954	2040.87	1.98965	12.5319
2019-10-14.14:26:08	77.3608	2042.34	5.18924	12.4997
2019-10-14.14:26:09	77.7662	2042.85	9.48661	13.2661
2019-10-14.14:26:10	78.0854	2043.38	4.36745	13.104
2019-10-14.14:26:11	78.293	2045.05	-2.34736	13.3035
2019-10-14.14:26:12	77.8964	2047.75	-8.33406	14.9448
2019-10-14.14:26:13	77.2332	2050.9	-5.12218	14.5894
2019-10-14.14:26:14	77.0112	2053.95	-0.14491	12.9349
2019-10-14.14:26:15	77.2033	2056.1	3.21999	12.4772
2019-10-14.14:26:16	77.5318	2057.13	6.67481	12.6833
2019-10-14.14:26:17	77.9414	2057.47	9.14345	13.524
2019-10-14.14:26:18	78.2054	2058.41	1.50267	12.8347
2019-10-14.14:26:19	78.2328	2060.5	-4.686	14.0345
2019-10-14.14:26:20	77.653	2063.45	-7.64465	15.1723
2019-10-14.14:26:21	77.0755	2066.65	-2.90523	13.8511
2019-10-14.14:26:22	77.0956	2069.42	1.29237	12.6017
2019-10-14.14:26:23	77.3321	2071.11	4.47373	12.4712
2019-10-14.14:26:24	77.7176	2071.76	8.42835	13.0476
2019-10-14.14:26:25	78.074	2072.15	6.02083	13.3188
2019-10-14.14:26:26	78.3219	2073.57	-1.07026	13.0118
2019-10-14.14:26:27	78.0631	2076.07	-7.05235	14.686
2019-10-14.14:26:28	77.402	2079.16	-6.32661	14.8911
2019-10-14.14:26:29	77.0338	2082.29	-1.00996	13.1889
2019-10-14.14:26:30	77.196	2084.67	2.57582	12.4792
2019-10-14.14:26:31	77.4897	2085.91	5.86531	12.5431
