DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-11.17:25:26	86.843	1984.93	0.0458366	11.701
2019-10-11.17:25:27	86.8519	1989.91	0.0456926	11.7004
2019-10-11.17:25:28	86.8598	1994.89	0.0455491	11.7002
2019-10-11.17:25:29	86.8668	1999.88	0.0454059	11.7002
2019-10-11.17:25:30	86.8729	2004.86	0.0452626	11.7
2019-10-11.17:25:31	86.8783	2009.84	0.0451192	11.6993
2019-10-11.17:25:32	86.8835	2014.82	0.0449761	11.6979
2019-10-11.17:25:33	86.8888	2019.8	0.0448335	11.6957
2019-10-11.17:25:34	86.8948	2024.78	0.0446919	11.6928
2019-10-11.17:25:35	86.9016	2029.75	0.0445514	11.6894
2019-10-11.17:25:36	86.9093	2034.71	0.044412	11.6858
2019-10-11.17:25:37	86.9179	2039.68	0.0442734	11.6823
2019-10-11.17:25:38	86.9271	2044.64	0.0441356	11.6794
2019-10-11.17:25:39	86.9366	2049.59	0.0439981	11.677
2019-10-11.17:25:40	86.946	2054.55	0.043861	11.6755
2019-10-11.17:25:41	86.9548	2059.5	0.043724	11.6746
2019-10-11.17:25:42	86.9629	2064.46	0.0435871	11.6742
2019-10-11.17:25:43	86.97	2069.42	0.0434501	11.674
2019-10-11.17:25:44	86.9764	2074.37	0.0433131	11.6737
2019-10-11.17:25:45	86.9821	2079.33	0.0431763	11.673
2019-10-11.17:25:46	86.9874	2084.28	0.0430398	11.6717
2019-10-11.17:25:47	86.9929	2089.24	0.0429039	11.6697
2019-10-11.17:25:48	86.9989	2094.19	0.0427687	11.667
2019-10-11.17:25:49	87.0055	2099.13	0.0426345	11.6638
2019-10-11.17:25:50	87.013	2104.08	0.0425011	11.6605
2019-10-11.17:25:51	87.0213	2109.01	0.0423687	11.6571
2019-10-11.17:25:52	87.0302	2113.95	0.0422369	11.6542
2019-10-11.17:25:53	87.0394	2118.88	0.0421057	11.6518
2019-10-11.17:25:54	87.0486	2123.81	0.0419748	11.65
2019-10-11.17:25:55	87.0574	2128.74	0.0418441	11.6489
2019-10-11.17:25:56	87.0655	2133.67	0.0417134	11.6483
2019-10-11.17:25:57	87.0729	2138.6	0.0415827	11.648
2019-10-11.17:25:58	87.0794	2143.53	0.041452	11.6476
2019-10-11.17:25:59	87.0854	2148.46	0.0413214	11.6469
2019-10-11.17:26:00	87.091	2153.39	0.0411912	11.6456
2019-10-11.17:26:01	87.0966	2158.32	0.0410615	11.6438
2019-10-11.17:26:02	87.1025	2163.25	0.0409324	11.6413
2019-10-11.17:26:03	87.109	2168.17	0.0408042	11.6384
2019-10-11.17:26:04	87.1163	2173.09	0.0406768	11.6352
